User_ID,Age,Gender,Country,Preferred_Category,Time_Spent_Minutes,Subscribed_Channels,Most_Watched_Genre,Frequent_Keywords,Recommendation_Algorithm,Engagement_Rate,Premium_User,Devices_Used,Advertisement_Interaction,Satisfaction_Score,Video_On_Trending
28,34,Other,Germany,Gaming,325,96,Comedy,Science,Poor,88.8551382703368,No,Mobile,Low,4,Yes
29,56,Female,Russia,Gaming,174,37,Comedy,Cooking,Poor,99.07239105537778,Yes,Laptop,Low,8,No
30,37,Other,Canada,Music,288,18,Technology,Travel,Poor,56.858218068999776,Yes,Tablet,High,10,Yes
31,61,Other,Russia,Music,36,20,Technology,DIY,Poor,77.4676768373454,No,Laptop,Low,3,Yes
32,39,Female,United States,Gaming,79,46,Fashion,Cooking,Good,85.90383695462995,No,Laptop,High,2,No
33,54,Other,Russia,Entertainment,227,2,Comedy,Cooking,Poor,70.09820060218269,No,Laptop,High,9,Yes
34,40,Other,Russia,Education,374,87,Fashion,Travel,Fair,4.415604911173121,Yes,Tablet,High,4,Yes
35,28,Other,Germany,Education,315,94,Fashion,Travel,Poor,15.76342317168178,Yes,Laptop,High,9,Yes
36,27,Male,Russia,Music,133,63,Fashion,Cooking,Good,7.098919115138647,Yes,Laptop,Medium,6,Yes
37,59,Female,Germany,Music,28,3,Fashion,Cooking,Fair,0.987960664205656,No,Tablet,Medium,1,No
38,63,Male,Germany,Education,266,46,Technology,Cooking,Fair,30.599640875723654,Yes,Tablet,Medium,3,No
39,56,Female,United States,Gaming,305,49,Sports,Travel,Poor,39.235596048155976,No,Mobile,Medium,7,No
40,64,Female,Germany,Music,31,1,Fashion,Cooking,Poor,24.10297323359257,Yes,Laptop,Medium,9,No
41,15,Other,Canada,Education,459,22,Comedy,Cooking,Good,6.460464808632094,Yes,Mobile,Low,8,No
42,49,Female,Germany,Music,561,93,Sports,DIY,Fair,52.98630908366776,No,Smart TV,Medium,5,Yes
43,63,Male,Canada,Gaming,559,14,Technology,Science,Fair,27.331931995714164,No,Mobile,Low,8,Yes
44,19,Male,Germany,Entertainment,57,92,Sports,Science,Good,79.60371548635624,No,Mobile,Low,2,No
45,33,Male,Canada,Music,596,85,Sports,Science,Poor,0.8052621625281198,Yes,Mobile,High,3,No
46,21,Female,United States,Education,192,45,Technology,Science,Excellent,84.25270512876104,No,Mobile,High,8,Yes
47,51,Male,Russia,Gaming,444,96,Fashion,Science,Excellent,95.47536789459569,No,Laptop,High,9,No
48,30,Female,Germany,Education,116,6,Sports,Cooking,Fair,71.61350631535696,No,Smart TV,Medium,10,No
49,16,Male,United States,Gaming,197,65,Technology,Cooking,Fair,73.36440652625666,No,Smart TV,Low,8,Yes
50,37,Male,United States,Entertainment,95,21,Technology,DIY,Poor,93.35623116027332,Yes,Tablet,Medium,4,Yes
51,26,Female,Germany,Entertainment,465,4,Sports,Travel,Excellent,20.907128530034914,Yes,Smart TV,High,6,No
52,62,Male,Germany,Education,146,3,Technology,DIY,Fair,99.45655682085767,No,Mobile,High,5,No
53,21,Other,Canada,Entertainment,345,30,Sports,Travel,Poor,77.34812033785418,No,Tablet,Low,4,Yes
54,38,Female,Germany,Music,478,31,Sports,Travel,Excellent,72.65707083277937,Yes,Mobile,Low,9,No
55,14,Female,Germany,Gaming,580,34,Technology,DIY,Good,36.109057899529276,No,Laptop,High,10,No
56,32,Female,Canada,Gaming,412,83,Technology,Cooking,Fair,54.57774854056105,No,Laptop,Medium,3,Yes
57,40,Other,Canada,Gaming,549,20,Technology,DIY,Good,65.3917788273347,No,Smart TV,Medium,1,No
58,59,Female,Germany,Entertainment,81,87,Sports,Science,Excellent,62.03428613172159,Yes,Mobile,Low,7,No
59,19,Male,Germany,Entertainment,33,54,Comedy,DIY,Poor,70.49846384775807,Yes,Mobile,High,10,No
60,56,Male,Germany,Music,494,25,Technology,Cooking,Poor,8.238173907841063,Yes,Mobile,Medium,8,Yes
61,20,Male,Russia,Entertainment,65,15,Technology,Cooking,Excellent,35.56484328316968,No,Tablet,Low,3,Yes
62,59,Female,Russia,Gaming,232,38,Fashion,Travel,Good,43.40000165954771,No,Tablet,Low,3,Yes
63,47,Male,United States,Music,188,23,Technology,Travel,Poor,26.062929787496646,No,Tablet,Low,6,No
64,26,Female,United States,Music,443,52,Sports,DIY,Fair,17.262727026922377,Yes,Smart TV,Medium,2,No
65,29,Male,Germany,Gaming,459,66,Technology,Travel,Good,13.892747991286281,Yes,Smart TV,Low,6,No
66,48,Other,Canada,Education,501,57,Fashion,DIY,Good,36.63833922565851,No,Mobile,Medium,5,Yes
67,62,Other,Germany,Entertainment,198,57,Comedy,Travel,Fair,49.34417005625659,No,Mobile,Low,7,No
68,52,Other,Germany,Entertainment,587,79,Comedy,Cooking,Excellent,6.297644014666071,No,Smart TV,Medium,9,Yes
69,16,Other,United States,Gaming,429,52,Technology,Travel,Poor,94.64580945905496,No,Tablet,High,9,No
70,14,Female,Germany,Education,258,35,Comedy,Science,Good,76.52433228607583,No,Tablet,Medium,1,No
71,18,Male,Germany,Entertainment,597,74,Sports,Cooking,Poor,73.08517731854666,Yes,Tablet,High,7,Yes
72,54,Other,United States,Education,173,14,Comedy,Science,Poor,17.286052498872696,Yes,Tablet,Low,3,No
73,16,Female,United States,Gaming,264,91,Sports,Cooking,Good,60.3800768012189,Yes,Tablet,Medium,4,No
74,41,Other,Canada,Gaming,485,14,Comedy,DIY,Excellent,52.972494680866745,Yes,Smart TV,Low,2,Yes
75,30,Other,Canada,Education,426,99,Comedy,Cooking,Good,98.24688457866938,No,Laptop,High,1,No
76,38,Female,Canada,Gaming,179,33,Sports,Travel,Excellent,74.76717700801579,Yes,Laptop,Low,10,No
77,56,Female,Russia,Gaming,326,52,Sports,Science,Fair,57.57618837162312,Yes,Laptop,Low,3,No
78,46,Male,Russia,Music,183,1,Technology,Cooking,Excellent,85.08126664701223,No,Mobile,Low,10,No
79,22,Male,Germany,Education,479,34,Sports,DIY,Excellent,15.509427086070948,Yes,Mobile,High,9,Yes
80,48,Other,Canada,Entertainment,354,19,Technology,Science,Good,1.5216529690977199,No,Tablet,High,1,No
81,26,Other,United States,Entertainment,454,24,Fashion,Cooking,Poor,69.02333334145231,Yes,Mobile,Medium,3,Yes
82,43,Male,Canada,Music,27,4,Sports,DIY,Poor,9.831146023723747,No,Smart TV,Medium,5,No
83,60,Male,Germany,Gaming,79,36,Technology,Cooking,Excellent,11.54336399835092,No,Laptop,Medium,3,No
84,27,Female,Russia,Gaming,347,77,Technology,Cooking,Excellent,74.46807264245305,No,Smart TV,Medium,4,No
85,20,Male,Russia,Music,536,58,Comedy,Science,Good,27.05348441339891,Yes,Smart TV,Low,4,Yes
86,26,Male,Germany,Music,465,32,Sports,Cooking,Excellent,62.86312155688929,Yes,Smart TV,High,1,No
87,35,Other,Canada,Gaming,278,9,Comedy,Science,Good,91.74069260927484,No,Tablet,High,6,No
88,52,Male,Germany,Education,197,80,Technology,Science,Fair,31.647453163785833,Yes,Tablet,Low,7,Yes
89,33,Other,Germany,Music,578,67,Sports,Travel,Excellent,21.714415783991882,No,Tablet,Medium,7,Yes
90,28,Male,Russia,Education,538,20,Technology,Science,Fair,10.656288374105172,No,Mobile,High,6,No
91,57,Female,Russia,Entertainment,443,74,Comedy,Cooking,Excellent,13.046236141972612,No,Tablet,Low,7,Yes
92,30,Male,Russia,Gaming,297,62,Technology,Cooking,Excellent,6.222269537884273,No,Mobile,Low,3,Yes
93,59,Male,Germany,Education,576,58,Technology,Cooking,Fair,8.764237882974014,No,Smart TV,Medium,5,No
94,36,Male,Canada,Education,508,22,Comedy,Cooking,Fair,43.20045888091539,No,Laptop,Medium,7,Yes
95,38,Other,Germany,Gaming,450,67,Sports,Science,Good,32.08650450239697,No,Tablet,High,10,No
96,37,Female,Canada,Gaming,312,75,Comedy,Travel,Good,70.6560814322998,Yes,Mobile,High,5,Yes
97,57,Male,Canada,Entertainment,96,89,Sports,Science,Fair,87.02416582470019,Yes,Mobile,Medium,10,Yes
98,53,Other,Germany,Gaming,447,48,Sports,Cooking,Excellent,78.47732031423843,Yes,Tablet,High,2,No
99,41,Female,Canada,Education,550,8,Fashion,Science,Good,53.06372566656522,Yes,Tablet,Medium,6,No
100,27,Other,Canada,Music,31,73,Technology,Travel,Excellent,10.244211623265343,Yes,Smart TV,Low,7,No
101,57,Other,Germany,Gaming,569,15,Sports,DIY,Poor,70.97672839415536,Yes,Mobile,Low,2,Yes
102,13,Female,Russia,Gaming,526,32,Sports,Travel,Good,36.28287247268736,No,Laptop,Low,10,No
103,37,Male,Germany,Music,512,53,Comedy,Travel,Good,8.565039391541019,Yes,Smart TV,High,8,No
104,19,Other,Russia,Gaming,476,67,Sports,DIY,Good,84.24664072126257,No,Mobile,Medium,5,No
105,21,Other,Canada,Gaming,110,4,Sports,Travel,Poor,33.82165171825056,Yes,Smart TV,Low,8,Yes
106,36,Male,Russia,Music,592,30,Comedy,Travel,Fair,21.824883251157136,No,Smart TV,Low,3,No
107,13,Male,Russia,Education,150,13,Sports,Science,Excellent,87.14520646188431,Yes,Tablet,High,2,No
108,56,Female,United States,Entertainment,147,21,Technology,Travel,Poor,90.2133868447005,Yes,Laptop,High,7,Yes
109,20,Female,United States,Entertainment,587,41,Technology,Travel,Fair,33.89708371915599,Yes,Laptop,Low,5,No
110,36,Female,Russia,Entertainment,237,19,Comedy,Cooking,Good,35.48014192813734,Yes,Mobile,High,5,No
111,23,Male,United States,Education,290,48,Sports,Travel,Fair,57.96285275831441,Yes,Smart TV,High,8,No
112,63,Other,Russia,Entertainment,440,86,Technology,Science,Fair,73.34414938106582,No,Tablet,High,9,No
113,29,Other,United States,Education,49,63,Fashion,DIY,Fair,6.314920190686346,No,Mobile,High,8,Yes
114,20,Female,Canada,Gaming,528,20,Comedy,Cooking,Excellent,59.334365718847174,Yes,Mobile,Medium,10,No
115,47,Male,Germany,Entertainment,220,64,Comedy,Science,Fair,95.28200617835816,No,Mobile,High,2,No
116,47,Other,United States,Music,311,37,Technology,Cooking,Fair,26.209389717995368,No,Laptop,High,10,No
117,45,Female,Germany,Education,95,31,Comedy,Travel,Fair,90.88272140969337,No,Smart TV,Medium,7,No
118,17,Other,United States,Entertainment,406,74,Sports,Science,Fair,95.01683407630937,No,Smart TV,High,5,No
119,54,Other,Russia,Music,262,18,Technology,Cooking,Poor,26.915364097108974,Yes,Tablet,High,7,Yes
120,51,Male,United States,Entertainment,542,20,Fashion,Science,Poor,75.42018658853506,Yes,Laptop,Low,3,No
121,53,Male,United States,Education,390,82,Sports,Cooking,Fair,23.877500831956,No,Laptop,Low,4,No
122,40,Other,Germany,Education,453,11,Fashion,Travel,Fair,73.76111617321327,Yes,Mobile,Low,7,No
123,19,Female,Germany,Gaming,42,86,Fashion,DIY,Fair,79.74199712888259,Yes,Tablet,Medium,2,Yes
124,21,Male,United States,Education,269,44,Comedy,DIY,Good,24.720570371064944,Yes,Mobile,High,2,No
125,20,Other,Germany,Entertainment,243,82,Fashion,Science,Fair,71.5869543583235,Yes,Tablet,Medium,1,Yes
126,24,Male,United States,Education,524,64,Sports,DIY,Fair,81.21045388640898,No,Tablet,Medium,1,No
127,46,Male,Russia,Music,317,34,Technology,Science,Poor,35.857887210691175,No,Laptop,High,1,No
128,45,Male,Russia,Gaming,79,87,Technology,Science,Poor,16.770277598972694,No,Laptop,High,6,Yes
129,60,Other,Canada,Gaming,463,65,Fashion,Travel,Poor,9.196456731751358,Yes,Smart TV,Low,5,No
130,35,Female,Germany,Education,448,55,Fashion,Travel,Excellent,57.53817036099419,No,Smart TV,High,10,No
131,36,Female,United States,Entertainment,373,74,Technology,Cooking,Good,97.80981193157132,No,Smart TV,Medium,8,Yes
132,49,Female,Russia,Gaming,490,1,Fashion,Science,Fair,82.29503200222162,No,Laptop,Low,5,No
133,47,Male,Canada,Entertainment,153,38,Sports,Cooking,Poor,43.58396389345528,No,Mobile,Medium,1,No
134,56,Other,Canada,Entertainment,33,9,Fashion,Cooking,Excellent,53.66209028549586,Yes,Tablet,High,8,No
135,52,Male,United States,Music,434,95,Fashion,Travel,Fair,27.952788541181896,No,Tablet,Low,6,Yes
136,34,Female,Canada,Gaming,184,71,Sports,Science,Fair,16.306586736006356,Yes,Smart TV,High,8,Yes
137,39,Female,Canada,Education,334,17,Technology,Travel,Poor,48.208115823227324,Yes,Tablet,Low,2,No
138,47,Other,United States,Entertainment,357,99,Technology,Science,Fair,46.35015661671852,No,Tablet,Low,10,No
139,13,Male,Canada,Gaming,27,52,Fashion,DIY,Fair,52.19299528037602,Yes,Laptop,Low,8,Yes
140,47,Female,Canada,Gaming,53,18,Technology,DIY,Fair,95.28045855639408,Yes,Laptop,High,6,No
141,49,Other,United States,Entertainment,164,63,Sports,Cooking,Poor,60.389530014477224,No,Tablet,Low,1,No
142,59,Male,United States,Education,386,33,Fashion,Travel,Excellent,60.577183662237374,No,Mobile,Low,1,Yes
143,26,Male,Russia,Gaming,411,4,Fashion,Travel,Fair,12.802476286107678,No,Smart TV,High,10,Yes
144,15,Female,Canada,Gaming,234,87,Fashion,Science,Excellent,99.64888661768204,No,Tablet,Medium,5,Yes
145,13,Female,Russia,Education,226,75,Comedy,Cooking,Fair,77.28449442346685,No,Tablet,High,7,No
146,17,Male,Russia,Entertainment,577,52,Comedy,Travel,Poor,87.72033440940048,Yes,Smart TV,High,4,No
147,38,Male,Germany,Entertainment,40,9,Sports,Cooking,Excellent,41.430041183099405,No,Laptop,Low,10,Yes
148,26,Female,United States,Entertainment,68,64,Fashion,Travel,Poor,50.21280957856249,Yes,Smart TV,High,5,No
149,51,Male,Germany,Entertainment,362,30,Sports,DIY,Good,52.20838091622765,Yes,Mobile,High,10,No
150,39,Female,United States,Education,454,8,Comedy,Travel,Fair,19.409453928960517,No,Tablet,High,3,No
151,21,Male,Germany,Music,244,5,Fashion,Travel,Good,68.94891563269572,Yes,Tablet,Low,2,No
152,27,Female,United States,Education,116,76,Comedy,DIY,Good,90.29767236174567,Yes,Tablet,High,2,Yes
153,27,Other,Canada,Education,200,63,Fashion,Cooking,Good,16.370581813841902,No,Smart TV,Low,5,No
154,38,Female,Canada,Entertainment,539,1,Sports,Cooking,Fair,8.63182734861645,No,Mobile,High,4,Yes
155,54,Female,Russia,Gaming,592,15,Sports,Cooking,Poor,73.82189055403423,Yes,Tablet,Low,2,No
156,25,Other,Germany,Education,575,89,Sports,DIY,Good,27.320183167298207,Yes,Laptop,Low,5,Yes
157,63,Male,Russia,Entertainment,254,82,Comedy,DIY,Excellent,62.386254161732936,Yes,Mobile,High,10,Yes
158,44,Other,Germany,Gaming,85,38,Sports,DIY,Fair,69.57583379921807,Yes,Mobile,Medium,9,No
159,51,Female,United States,Education,556,42,Technology,Cooking,Poor,32.19107635818218,Yes,Mobile,High,8,Yes
160,61,Male,United States,Music,276,46,Technology,Cooking,Poor,81.51445974257844,No,Mobile,Medium,9,No
161,64,Other,Germany,Music,326,53,Sports,Cooking,Good,54.99889821142169,No,Laptop,Low,9,No
162,44,Male,Germany,Entertainment,130,26,Sports,Cooking,Fair,86.89994079518027,No,Mobile,Medium,8,Yes
163,16,Male,Canada,Gaming,34,61,Comedy,Science,Good,76.32935525589475,No,Laptop,Medium,9,Yes
164,42,Other,Germany,Gaming,441,67,Fashion,DIY,Excellent,86.85756320374539,Yes,Smart TV,Low,4,Yes
165,49,Male,Canada,Entertainment,169,54,Comedy,DIY,Poor,2.016138211789409,No,Smart TV,Medium,8,Yes
166,35,Other,Germany,Entertainment,123,22,Comedy,DIY,Poor,24.350626073859473,No,Smart TV,High,2,No
167,51,Female,Canada,Gaming,511,26,Sports,Cooking,Fair,9.000794044593864,Yes,Smart TV,Medium,9,No
168,57,Male,Russia,Music,175,83,Technology,Cooking,Poor,44.20830171893492,Yes,Laptop,Low,9,Yes
169,27,Female,Canada,Music,184,60,Technology,Science,Fair,88.99601216153182,Yes,Tablet,Medium,3,Yes
170,55,Female,Russia,Education,10,39,Technology,Science,Good,46.75402622668692,No,Laptop,Low,6,Yes
171,41,Male,Canada,Education,95,36,Comedy,Cooking,Excellent,84.97130445803941,No,Smart TV,Low,7,No
172,48,Other,United States,Gaming,583,21,Technology,Cooking,Fair,32.717823801931786,Yes,Tablet,High,3,Yes
173,25,Male,Canada,Music,329,41,Technology,Cooking,Good,33.95700728052524,Yes,Tablet,Low,5,No
174,44,Female,Germany,Education,410,48,Sports,DIY,Excellent,89.55617303268775,No,Tablet,Medium,1,No
175,19,Female,Russia,Music,391,26,Technology,Science,Poor,42.58171465117015,Yes,Tablet,High,3,Yes
176,63,Other,Germany,Music,327,63,Fashion,DIY,Excellent,78.97654877946664,Yes,Mobile,High,8,No
177,34,Male,Germany,Gaming,259,77,Sports,Travel,Excellent,23.664354788190135,Yes,Smart TV,Medium,3,No
178,40,Female,United States,Music,534,36,Fashion,Travel,Excellent,94.88008296776354,No,Smart TV,Medium,8,No
179,14,Female,Canada,Gaming,564,24,Comedy,Travel,Poor,57.45782465305711,No,Smart TV,High,9,Yes
180,54,Female,United States,Education,265,90,Technology,Travel,Fair,75.93235685784019,No,Laptop,Low,6,Yes
181,57,Other,Canada,Entertainment,316,21,Comedy,DIY,Fair,8.95156997948855,Yes,Smart TV,High,7,No
182,18,Female,Germany,Music,153,18,Comedy,Travel,Excellent,49.26642258305287,Yes,Smart TV,High,6,Yes
183,40,Female,Canada,Entertainment,400,15,Technology,Cooking,Good,90.10384977340232,No,Smart TV,High,8,No
184,40,Male,United States,Entertainment,178,79,Sports,Travel,Good,87.70386290433045,Yes,Laptop,Low,7,Yes
185,56,Male,Russia,Gaming,307,6,Comedy,Cooking,Excellent,4.681395723422755,Yes,Smart TV,Medium,10,No
186,56,Female,United States,Music,242,43,Technology,DIY,Excellent,30.369846912894673,No,Smart TV,Medium,1,Yes
187,32,Female,United States,Music,280,31,Technology,Science,Good,44.33200064790801,Yes,Mobile,Medium,3,Yes
188,42,Male,United States,Education,69,28,Fashion,Science,Excellent,17.226481435578822,Yes,Smart TV,Low,3,No
189,23,Other,Russia,Entertainment,305,8,Comedy,Travel,Excellent,72.99983109899703,Yes,Tablet,Low,3,Yes
190,40,Other,Germany,Entertainment,476,29,Comedy,Science,Fair,18.451199559871156,Yes,Laptop,Medium,4,No
191,37,Other,United States,Gaming,244,21,Technology,Cooking,Fair,34.663969436988616,No,Tablet,Medium,1,Yes
192,51,Other,United States,Music,243,81,Fashion,Travel,Excellent,66.32806368578183,Yes,Mobile,Medium,2,Yes
193,45,Other,United States,Music,377,88,Sports,Travel,Excellent,48.20893445244799,No,Smart TV,Medium,5,Yes
194,13,Other,Russia,Entertainment,241,58,Fashion,Cooking,Poor,73.85710386348939,No,Laptop,Low,6,Yes
195,39,Other,Russia,Education,500,60,Comedy,Cooking,Fair,96.12079012228597,No,Mobile,Medium,9,No
196,64,Other,Russia,Entertainment,512,50,Fashion,DIY,Excellent,11.654668771519749,No,Laptop,High,2,No
197,25,Male,Germany,Music,390,31,Comedy,Cooking,Poor,70.95677163980609,Yes,Tablet,Medium,9,No
198,53,Other,Canada,Gaming,437,47,Sports,DIY,Poor,23.034415563211454,Yes,Mobile,Low,7,No
199,15,Other,Germany,Gaming,373,34,Comedy,Travel,Poor,41.44767274075692,No,Laptop,High,9,Yes
200,51,Other,Germany,Gaming,211,2,Sports,Science,Poor,3.2862725795139824,No,Tablet,High,4,Yes
201,18,Female,Germany,Music,155,67,Sports,Science,Fair,13.590738229269894,No,Mobile,High,7,No
202,20,Male,Canada,Music,466,94,Sports,DIY,Poor,31.977728904889968,No,Smart TV,Low,1,No
203,39,Male,United States,Gaming,144,72,Fashion,Science,Fair,34.198580528798495,Yes,Smart TV,Medium,8,No
204,21,Male,Russia,Music,273,52,Sports,Science,Poor,89.95852164620958,No,Tablet,Low,7,No
205,49,Other,Germany,Education,73,7,Technology,Travel,Poor,74.18129092665151,No,Smart TV,Low,7,Yes
206,45,Other,Russia,Gaming,500,76,Comedy,DIY,Good,97.2182968187041,Yes,Smart TV,High,2,No
207,63,Female,Russia,Education,50,19,Comedy,Cooking,Fair,59.90715103352405,No,Mobile,High,10,Yes
208,54,Male,Russia,Education,305,90,Comedy,Science,Good,24.171373209131797,Yes,Mobile,Low,9,Yes
209,56,Other,United States,Music,12,92,Comedy,Travel,Good,32.765502992164286,Yes,Mobile,High,8,Yes
210,36,Male,Russia,Music,119,15,Sports,Travel,Poor,31.983592329196707,Yes,Mobile,Low,1,Yes
211,27,Female,Russia,Gaming,230,78,Fashion,Science,Fair,32.64943276632516,No,Mobile,High,1,Yes
212,44,Female,United States,Music,379,48,Fashion,Cooking,Excellent,67.29641731118157,Yes,Mobile,Medium,5,Yes
213,44,Female,Russia,Education,377,14,Fashion,Cooking,Poor,53.08079280904162,Yes,Smart TV,Medium,2,Yes
214,36,Male,Canada,Music,445,3,Fashion,DIY,Fair,38.54241780866443,No,Mobile,Medium,1,No
215,53,Other,Canada,Gaming,13,50,Comedy,DIY,Good,14.90897687287166,No,Laptop,High,10,No
216,64,Other,Germany,Entertainment,253,93,Technology,DIY,Fair,2.2139162942145907,No,Laptop,High,8,Yes
217,61,Female,Canada,Entertainment,175,54,Technology,Travel,Poor,21.88346775876926,No,Tablet,Medium,4,No
218,61,Other,Canada,Music,35,6,Fashion,Cooking,Fair,10.747140396868126,Yes,Laptop,Low,2,Yes
219,64,Female,Canada,Entertainment,404,49,Comedy,DIY,Good,78.54450308522394,No,Mobile,Low,5,No
220,24,Male,United States,Education,483,23,Sports,Travel,Fair,11.249795781388539,Yes,Smart TV,Medium,6,No
221,51,Female,Canada,Entertainment,26,92,Fashion,Cooking,Fair,72.42282373068362,Yes,Laptop,High,8,No
222,14,Male,Russia,Entertainment,101,78,Sports,Science,Good,38.56586897760826,No,Mobile,Low,7,No
223,15,Female,Germany,Education,492,78,Sports,DIY,Poor,7.337838974377597,No,Mobile,Low,7,No
224,61,Other,Russia,Gaming,552,20,Sports,DIY,Excellent,81.27300494315858,No,Smart TV,Low,1,No
225,49,Other,Russia,Entertainment,214,77,Technology,Cooking,Good,57.963057023661335,No,Mobile,High,3,No
226,61,Female,Canada,Entertainment,511,91,Fashion,Science,Good,23.576151286357305,Yes,Mobile,Low,3,No
227,29,Other,Germany,Entertainment,409,60,Comedy,Science,Poor,89.4681174332668,No,Laptop,Low,7,Yes
228,61,Other,Russia,Gaming,216,99,Comedy,Travel,Poor,4.525831387055145,Yes,Laptop,Medium,2,Yes
229,14,Other,Germany,Music,155,45,Comedy,DIY,Fair,20.18196081977629,Yes,Tablet,High,10,Yes
230,14,Male,Canada,Music,110,61,Fashion,Science,Good,75.2046927805861,No,Tablet,Medium,7,No
231,40,Other,Russia,Gaming,250,56,Technology,Travel,Fair,70.93779303098891,No,Laptop,Low,9,Yes
232,35,Male,United States,Education,172,2,Sports,DIY,Fair,28.927169372447803,No,Laptop,High,1,Yes
233,49,Female,Russia,Music,182,45,Comedy,DIY,Poor,6.202487535278312,Yes,Tablet,High,2,No
234,44,Other,Russia,Gaming,511,40,Technology,DIY,Poor,85.80780722249438,Yes,Tablet,Medium,6,Yes
235,45,Other,Germany,Gaming,556,24,Sports,DIY,Fair,31.369763806990257,Yes,Laptop,Medium,2,Yes
236,13,Other,Germany,Education,293,29,Sports,Science,Good,19.571341492826523,No,Mobile,High,2,No
237,31,Female,Germany,Gaming,368,67,Technology,Science,Good,51.60618223609771,No,Mobile,High,5,No
238,14,Male,Canada,Music,390,68,Fashion,Science,Fair,91.02271992824473,No,Smart TV,Medium,7,Yes
239,56,Male,Germany,Music,542,66,Fashion,Cooking,Excellent,4.354657784337535,No,Laptop,Low,4,No
240,38,Other,Canada,Gaming,172,84,Technology,Cooking,Excellent,76.58040880308877,No,Laptop,High,6,No
241,44,Female,Germany,Gaming,316,54,Sports,DIY,Poor,57.24732279387089,No,Laptop,Low,3,Yes
242,18,Female,United States,Education,348,53,Comedy,Science,Good,42.54491165518169,No,Laptop,Medium,4,No
243,44,Female,Germany,Education,64,79,Comedy,Travel,Fair,74.40804441050601,Yes,Laptop,High,4,Yes
244,16,Female,Canada,Entertainment,342,49,Fashion,Science,Fair,96.58244244416323,Yes,Tablet,Medium,4,No
245,23,Female,Canada,Gaming,136,32,Comedy,Travel,Good,22.920621116269103,Yes,Tablet,High,1,No
246,29,Male,Russia,Entertainment,252,61,Sports,DIY,Poor,14.364736507211962,Yes,Mobile,High,4,Yes
