Scheme_Name,Scheme_Category,Number_of_Beneficiaries,Benefit_Level,Ease_of_Access,Awareness_Level,Overall_Satisfaction,Feedback,Location,Age_Group,Gender,Occupation,Education_Level,Household_Income,Urban_or_Rural,Access_to_Resources,Scheme_Utility,Recommendation,Response_Date,Survey_Source
Pensión de Viudedad,Education,3364,3,1,5,5,Satisfied with the welfare program; could improve ease of access.,Salem,41-50,Male,Unemployed,Graduate,Medium,Urban,2,3,3,2023-01-29,In-person
Wage Protection Scheme,Women Empowerment,4730,4,5,1,3,Satisfied with the welfare program; could improve ease of access.,Chennai,31-40,Female,Unemployed,Doctorate,Medium,Urban,2,5,1,2023-01-30,Online
Climate Resilient Agriculture Scheme,Education,3166,2,2,1,5,Satisfied with the welfare program; could improve ease of access.,Coimbatore,51-60,Other,Homemaker,Postgraduate,Low,Urban,2,2,4,2023-01-31,In-person
Nehru Trophy for School Education,Women Empowerment,2843,3,5,4,2,Good initiative but awareness needs to be increased.,Madurai,18-30,Female,Professional,Graduate,High,Rural,4,4,5,2023-02-01,Phone
Ennum Ezhuthum,Social Welfare,1468,4,5,3,4,The women empowerment scheme needs more promotion in rural areas.,Salem,18-30,Female,Student,Graduate,Medium,Urban,1,4,5,2023-02-02,Online
Organic Farming Mission,Education,2973,1,4,2,3,The women empowerment scheme needs more promotion in rural areas.,Coimbatore,31-40,Other,Business,High School,High,Urban,4,4,5,2023-02-03,In-person
Uzhavar Naal Scheme,Social Welfare,4719,5,1,1,5,Good initiative but awareness needs to be increased.,Madurai,51-60,Female,Professional,Doctorate,Low,Urban,1,1,3,2023-02-04,In-person
Organic Farming Mission,Healthcare,3766,5,3,2,5,The scheme has significantly helped in accessing healthcare facilities.,Chennai,41-50,Female,Student,Doctorate,Low,Urban,1,2,2,2023-02-05,In-person
Pensión de Viudedad,Education,4724,1,4,1,2,The women empowerment scheme needs more promotion in rural areas.,Salem,51-60,Male,Homemaker,Postgraduate,Medium,Rural,5,3,4,2023-02-06,In-person
Wage Protection Scheme,Agriculture,3964,2,3,1,5,Good initiative but awareness needs to be increased.,Chennai,41-50,Male,Professional,High School,Medium,Urban,3,1,2,2023-02-07,Online
Organic Farming Mission,Education,2259,1,2,5,5,The agricultural scheme provided necessary aid in tough times.,Chennai,31-40,Female,Homemaker,Graduate,Low,Urban,3,1,5,2023-02-08,Online
Nehru Trophy for School Education,Education,4207,5,4,3,3,The scheme has significantly helped in accessing healthcare facilities.,Madurai,51-60,Female,Professional,High School,Low,Urban,1,1,4,2023-02-09,Phone
Uzhavar Naal Scheme,Agriculture,4325,3,3,3,5,The scheme has significantly helped in accessing healthcare facilities.,Chennai,51-60,Male,Unemployed,Postgraduate,Medium,Rural,1,3,5,2023-02-10,In-person
Pensión de Viudedad,Women Empowerment,2940,1,5,1,4,The education scheme needs improvement in terms of infrastructure.,Coimbatore,31-40,Other,Homemaker,Doctorate,Low,Urban,3,1,1,2023-02-11,In-person
Free Laptop Scheme,Education,2594,1,5,5,3,Good initiative but awareness needs to be increased.,Trichy,18-30,Male,Professional,Graduate,High,Urban,5,3,1,2023-02-12,Phone
Uzhavar Naal Scheme,Education,1012,1,1,4,2,The education scheme needs improvement in terms of infrastructure.,Coimbatore,31-40,Other,Business,High School,Medium,Urban,4,1,4,2023-02-13,In-person
Wage Protection Scheme,Social Welfare,352,3,3,3,4,The scheme has significantly helped in accessing healthcare facilities.,Salem,18-30,Female,Homemaker,Doctorate,High,Urban,4,1,3,2023-02-14,In-person
Kalaignar Health Insurance,Education,392,2,4,4,2,Good initiative but awareness needs to be increased.,Trichy,41-50,Male,Homemaker,High School,Medium,Rural,1,5,2,2023-02-15,Phone
Organic Farming Mission,Women Empowerment,2297,2,2,3,1,The agricultural scheme provided necessary aid in tough times.,Salem,18-30,Male,Unemployed,Graduate,Medium,Urban,1,3,2,2023-02-16,Online
Organic Farming Mission,Social Welfare,2850,2,5,4,2,Good initiative but awareness needs to be increased.,Madurai,51-60,Other,Homemaker,Postgraduate,High,Urban,4,1,2,2023-02-17,Phone
Climate Resilient Agriculture Scheme,Women Empowerment,242,1,4,5,3,The scheme has significantly helped in accessing healthcare facilities.,Coimbatore,31-40,Female,Unemployed,Graduate,Low,Urban,2,4,5,2023-02-18,Online
Free Laptop Scheme,Women Empowerment,4622,4,1,1,1,The scheme has significantly helped in accessing healthcare facilities.,Trichy,41-50,Male,Professional,Postgraduate,Low,Rural,3,3,1,2023-02-19,Online
Wage Protection Scheme,Social Welfare,342,3,1,5,4,The women empowerment scheme needs more promotion in rural areas.,Chennai,31-40,Female,Homemaker,Graduate,High,Rural,1,2,4,2023-02-20,In-person
Nehru Trophy for School Education,Education,4722,3,2,5,2,The agricultural scheme provided necessary aid in tough times.,Madurai,61+,Other,Business,Doctorate,Low,Urban,4,3,3,2023-02-21,Online
Pensión de Viudedad,Education,4797,5,5,1,5,The scheme has significantly helped in accessing healthcare facilities.,Trichy,41-50,Male,Student,Postgraduate,Medium,Urban,3,4,5,2023-02-22,In-person
Organic Farming Mission,Agriculture,1260,3,3,1,3,Satisfied with the welfare program; could improve ease of access.,Chennai,51-60,Female,Unemployed,Doctorate,Medium,Rural,2,3,4,2023-02-23,In-person
Pensión de Viudedad,Women Empowerment,1205,2,3,2,1,Good initiative but awareness needs to be increased.,Coimbatore,51-60,Female,Student,High School,Low,Urban,2,3,1,2023-02-24,In-person
Organic Farming Mission,Healthcare,2462,2,5,5,1,The scheme has significantly helped in accessing healthcare facilities.,Salem,51-60,Male,Homemaker,High School,Medium,Urban,1,1,4,2023-02-25,Phone
Transgender Welfare Board,Healthcare,4623,2,2,4,4,The education scheme needs improvement in terms of infrastructure.,Coimbatore,41-50,Other,Professional,Doctorate,High,Urban,5,4,5,2023-02-26,In-person
Organic Farming Mission,Healthcare,1594,4,2,3,4,The scheme has significantly helped in accessing healthcare facilities.,Madurai,61+,Female,Student,Doctorate,Low,Urban,3,2,4,2023-02-27,In-person
Wage Protection Scheme,Healthcare,1504,4,1,1,5,Good initiative but awareness needs to be increased.,Coimbatore,18-30,Male,Professional,Postgraduate,Medium,Urban,1,4,1,2023-02-28,Online
Organic Farming Mission,Healthcare,948,3,3,1,5,The women empowerment scheme needs more promotion in rural areas.,Coimbatore,41-50,Male,Business,Postgraduate,Low,Urban,4,1,5,2023-03-01,Phone
Pensión de Viudedad,Agriculture,4577,5,1,5,4,The agricultural scheme provided necessary aid in tough times.,Trichy,31-40,Other,Business,High School,Low,Urban,3,3,4,2023-03-02,Phone
Pensión de Viudedad,Agriculture,4087,5,3,1,4,The scheme has significantly helped in accessing healthcare facilities.,Salem,31-40,Female,Student,Doctorate,High,Rural,2,1,3,2023-03-03,Online
Organic Farming Mission,Agriculture,4825,2,4,3,2,Satisfied with the welfare program; could improve ease of access.,Salem,51-60,Female,Professional,High School,Low,Rural,4,4,4,2023-03-04,Online
Pensión de Viudedad,Healthcare,3946,5,4,3,5,The women empowerment scheme needs more promotion in rural areas.,Madurai,18-30,Other,Professional,High School,Medium,Urban,1,5,4,2023-03-05,In-person
Organic Farming Mission,Social Welfare,2630,2,2,5,3,The agricultural scheme provided necessary aid in tough times.,Chennai,31-40,Male,Student,Postgraduate,Low,Rural,1,5,1,2023-03-06,Online
Organic Farming Mission,Women Empowerment,1479,2,3,3,4,The women empowerment scheme needs more promotion in rural areas.,Salem,31-40,Female,Professional,Graduate,Low,Rural,1,2,4,2023-03-07,Phone
Organic Farming Mission,Healthcare,592,4,2,3,3,The education scheme needs improvement in terms of infrastructure.,Madurai,41-50,Female,Student,Doctorate,Medium,Urban,2,2,4,2023-03-08,In-person
Organic Farming Mission,Agriculture,3871,4,1,4,3,The scheme has significantly helped in accessing healthcare facilities.,Trichy,31-40,Female,Unemployed,Postgraduate,High,Urban,4,3,4,2023-03-09,Phone
Free Laptop Scheme,Healthcare,1697,1,1,3,1,The education scheme needs improvement in terms of infrastructure.,Madurai,31-40,Other,Student,Doctorate,Medium,Urban,2,1,5,2023-03-10,Online
Organic Farming Mission,Education,2698,1,1,5,1,The education scheme needs improvement in terms of infrastructure.,Salem,41-50,Other,Student,High School,Low,Urban,4,2,3,2023-03-11,Online
Climate Resilient Agriculture Scheme,Social Welfare,1933,1,1,1,1,The agricultural scheme provided necessary aid in tough times.,Trichy,61+,Male,Professional,Postgraduate,Medium,Urban,3,1,5,2023-03-12,Online
Organic Farming Mission,Agriculture,2491,3,4,5,5,The agricultural scheme provided necessary aid in tough times.,Chennai,31-40,Female,Professional,Postgraduate,Medium,Urban,4,2,2,2023-03-13,Online
Free Sanitary Napkin Scheme,Healthcare,2336,5,2,3,2,Good initiative but awareness needs to be increased.,Madurai,18-30,Other,Unemployed,Graduate,High,Urban,4,2,2,2023-03-14,In-person
Organic Farming Mission,Social Welfare,4320,1,3,5,3,Satisfied with the welfare program; could improve ease of access.,Trichy,41-50,Male,Professional,Doctorate,Medium,Urban,5,1,5,2023-03-15,Online
Uzhavar Naal Scheme,Healthcare,2570,2,3,2,5,The education scheme needs improvement in terms of infrastructure.,Chennai,51-60,Female,Unemployed,Graduate,Low,Urban,4,1,4,2023-03-16,Online
Organic Farming Mission,Agriculture,3439,3,2,1,1,The scheme has significantly helped in accessing healthcare facilities.,Trichy,18-30,Female,Homemaker,Graduate,Medium,Urban,2,5,2,2023-03-17,Phone
Free Sanitary Napkin Scheme,Agriculture,1406,5,2,3,5,The scheme has significantly helped in accessing healthcare facilities.,Trichy,51-60,Male,Professional,Doctorate,Medium,Urban,5,5,4,2023-03-18,Phone
Pensión de Viudedad,Women Empowerment,1276,1,2,4,5,The scheme has significantly helped in accessing healthcare facilities.,Trichy,51-60,Female,Professional,Postgraduate,Medium,Rural,5,2,1,2023-03-19,Phone
Wage Protection Scheme,Social Welfare,4960,5,2,3,3,The scheme has significantly helped in accessing healthcare facilities.,Chennai,41-50,Male,Homemaker,Doctorate,Low,Rural,5,3,1,2023-03-20,Online
Uzhavar Naal Scheme,Education,1729,1,1,2,5,The women empowerment scheme needs more promotion in rural areas.,Chennai,31-40,Male,Unemployed,Doctorate,Low,Rural,1,1,5,2023-03-21,In-person
Nehru Trophy for School Education,Women Empowerment,1048,2,5,5,2,Good initiative but awareness needs to be increased.,Trichy,31-40,Male,Business,Postgraduate,Medium,Urban,2,1,4,2023-03-22,Online
Free DTH Scheme,Agriculture,4112,4,3,3,3,Good initiative but awareness needs to be increased.,Madurai,51-60,Female,Professional,High School,Low,Rural,5,1,1,2023-03-23,In-person
Free Laptop Scheme,Healthcare,2608,5,3,4,4,The agricultural scheme provided necessary aid in tough times.,Madurai,41-50,Female,Unemployed,Postgraduate,Low,Urban,4,2,3,2023-03-24,In-person
Organic Farming Mission,Women Empowerment,2892,4,3,3,3,The women empowerment scheme needs more promotion in rural areas.,Trichy,51-60,Male,Professional,Postgraduate,High,Urban,1,3,2,2023-03-25,In-person
Transgender Welfare Board,Agriculture,1723,4,3,1,5,Satisfied with the welfare program; could improve ease of access.,Chennai,18-30,Female,Student,Doctorate,Low,Urban,5,1,3,2023-03-26,In-person
Climate Resilient Agriculture Scheme,Women Empowerment,3281,2,4,3,2,Good initiative but awareness needs to be increased.,Trichy,61+,Female,Homemaker,Postgraduate,High,Urban,4,2,5,2023-03-27,Phone
Organic Farming Mission,Education,4428,4,4,4,5,The agricultural scheme provided necessary aid in tough times.,Madurai,41-50,Female,Professional,High School,Medium,Urban,1,1,2,2023-03-28,Phone
Free Laptop Scheme,Social Welfare,3003,5,2,5,5,The scheme has significantly helped in accessing healthcare facilities.,Chennai,61+,Female,Business,Graduate,Medium,Urban,1,2,5,2023-03-29,In-person
Uzhavar Naal Scheme,Women Empowerment,3332,3,2,5,3,The education scheme needs improvement in terms of infrastructure.,Coimbatore,41-50,Other,Professional,Postgraduate,Low,Rural,5,3,4,2023-03-30,Online
Wage Protection Scheme,Education,920,5,4,1,2,Good initiative but awareness needs to be increased.,Salem,51-60,Female,Unemployed,High School,High,Urban,2,3,1,2023-03-31,Phone
Naan Mudhalvan Scheme,Agriculture,3282,1,1,5,1,The agricultural scheme provided necessary aid in tough times.,Chennai,18-30,Female,Professional,Doctorate,Low,Urban,1,2,1,2023-04-01,In-person
Pensión de Viudedad,Education,4666,1,2,3,1,The education scheme needs improvement in terms of infrastructure.,Trichy,18-30,Female,Homemaker,Graduate,High,Rural,5,4,2,2023-04-02,Online
Organic Farming Mission,Women Empowerment,1169,1,1,5,1,The agricultural scheme provided necessary aid in tough times.,Chennai,18-30,Female,Unemployed,High School,Medium,Urban,2,1,2,2023-04-03,In-person
Uzhavar Naal Scheme,Social Welfare,2684,5,4,5,4,Satisfied with the welfare program; could improve ease of access.,Chennai,41-50,Male,Student,High School,Low,Rural,1,5,2,2023-04-04,In-person
Kalaignar Health Insurance,Education,1122,5,1,4,2,The scheme has significantly helped in accessing healthcare facilities.,Salem,18-30,Female,Business,Doctorate,Medium,Urban,2,1,4,2023-04-05,Phone
Kalaignar Health Insurance,Social Welfare,2403,4,1,5,5,Good initiative but awareness needs to be increased.,Coimbatore,61+,Female,Business,High School,Low,Rural,1,1,5,2023-04-06,Phone
Nehru Trophy for School Education,Social Welfare,2979,4,1,3,1,Satisfied with the welfare program; could improve ease of access.,Chennai,31-40,Male,Unemployed,Graduate,High,Urban,2,5,4,2023-04-07,Online
Nehru Trophy for School Education,Education,150,5,2,4,4,The women empowerment scheme needs more promotion in rural areas.,Madurai,41-50,Female,Business,Postgraduate,Low,Urban,3,1,4,2023-04-08,In-person
Kalaignar Health Insurance,Education,4334,3,1,2,5,The women empowerment scheme needs more promotion in rural areas.,Chennai,18-30,Female,Business,High School,Low,Urban,1,2,1,2023-04-09,In-person
Wage Protection Scheme,Social Welfare,2666,2,2,5,1,The agricultural scheme provided necessary aid in tough times.,Chennai,61+,Female,Student,Graduate,Low,Urban,1,4,1,2023-04-10,Phone
Ennum Ezhuthum,Healthcare,4121,4,5,5,1,The education scheme needs improvement in terms of infrastructure.,Coimbatore,51-60,Female,Professional,Graduate,Low,Urban,3,5,4,2023-04-11,Phone
Uzhavar Naal Scheme,Agriculture,1024,4,1,4,3,The women empowerment scheme needs more promotion in rural areas.,Coimbatore,18-30,Male,Student,Postgraduate,High,Urban,4,5,2,2023-04-12,Phone
Climate Resilient Agriculture Scheme,Women Empowerment,3696,5,5,3,3,The education scheme needs improvement in terms of infrastructure.,Chennai,18-30,Male,Professional,Doctorate,Low,Rural,4,2,4,2023-04-13,Online
Wage Protection Scheme,Healthcare,3691,3,1,2,5,The women empowerment scheme needs more promotion in rural areas.,Coimbatore,18-30,Female,Business,Doctorate,High,Urban,2,3,2,2023-04-14,Phone
Kalaignar Health Insurance,Women Empowerment,3621,4,5,2,5,Satisfied with the welfare program; could improve ease of access.,Salem,41-50,Female,Student,Postgraduate,High,Urban,4,5,5,2023-04-15,Phone
Free DTH Scheme,Social Welfare,3411,1,4,5,2,The scheme has significantly helped in accessing healthcare facilities.,Trichy,18-30,Female,Student,Doctorate,High,Urban,3,3,2,2023-04-16,Online
Organic Farming Mission,Education,626,1,5,4,5,The scheme has significantly helped in accessing healthcare facilities.,Salem,41-50,Female,Business,Postgraduate,High,Urban,3,2,5,2023-04-17,In-person
Uzhavar Naal Scheme,Education,2917,4,5,5,5,The women empowerment scheme needs more promotion in rural areas.,Coimbatore,51-60,Male,Homemaker,Postgraduate,Medium,Urban,4,5,5,2023-04-18,In-person
Uzhavar Naal Scheme,Healthcare,3787,5,3,1,1,The education scheme needs improvement in terms of infrastructure.,Coimbatore,41-50,Male,Homemaker,High School,Low,Rural,2,4,4,2023-04-19,Phone
Uzhavar Naal Scheme,Agriculture,1916,5,5,5,5,The women empowerment scheme needs more promotion in rural areas.,Chennai,41-50,Male,Professional,Postgraduate,Medium,Rural,1,5,5,2023-04-20,Phone
Ennum Ezhuthum,Healthcare,800,5,5,1,3,The women empowerment scheme needs more promotion in rural areas.,Chennai,18-30,Male,Unemployed,Graduate,Medium,Rural,5,4,2,2023-04-21,Phone
Wage Protection Scheme,Healthcare,1278,3,2,1,5,The agricultural scheme provided necessary aid in tough times.,Trichy,41-50,Male,Business,High School,Medium,Urban,3,2,1,2023-04-22,In-person
Free Sanitary Napkin Scheme,Healthcare,1700,1,1,4,2,The agricultural scheme provided necessary aid in tough times.,Trichy,18-30,Female,Student,Graduate,High,Urban,5,1,5,2023-04-23,Online
Tamil Nadu Startup and Innovation Mission,Education,1136,2,3,1,4,Satisfied with the welfare program; could improve ease of access.,Madurai,18-30,Male,Unemployed,Postgraduate,Low,Urban,1,5,3,2023-04-24,In-person
Pensión de Viudedad,Women Empowerment,2976,4,2,2,3,The education scheme needs improvement in terms of infrastructure.,Chennai,51-60,Other,Student,Postgraduate,Low,Urban,4,2,5,2023-04-25,Online
Pensión de Viudedad,Women Empowerment,1041,3,3,2,4,The education scheme needs improvement in terms of infrastructure.,Madurai,61+,Male,Business,Graduate,Low,Urban,2,5,4,2023-04-26,Online
Wage Protection Scheme,Education,4158,3,1,3,3,Satisfied with the welfare program; could improve ease of access.,Madurai,18-30,Male,Professional,High School,High,Urban,5,3,5,2023-04-27,In-person
Wage Protection Scheme,Education,1504,5,5,4,5,The education scheme needs improvement in terms of infrastructure.,Trichy,41-50,Other,Unemployed,High School,Low,Rural,4,1,5,2023-04-28,Phone
Pensión de Viudedad,Women Empowerment,2403,4,1,1,2,The women empowerment scheme needs more promotion in rural areas.,Coimbatore,18-30,Other,Business,High School,Low,Rural,4,3,3,2023-04-29,Phone
Pensión de Viudedad,Women Empowerment,3704,3,5,5,2,The agricultural scheme provided necessary aid in tough times.,Chennai,41-50,Female,Professional,Doctorate,Low,Rural,1,3,1,2023-04-30,Phone
Naan Mudhalvan Scheme,Women Empowerment,167,1,3,4,5,Satisfied with the welfare program; could improve ease of access.,Coimbatore,41-50,Male,Business,High School,Low,Urban,5,1,2,2023-05-01,Online
Wage Protection Scheme,Healthcare,2440,2,5,1,4,The education scheme needs improvement in terms of infrastructure.,Coimbatore,41-50,Male,Professional,Doctorate,Low,Urban,4,2,2,2023-05-02,In-person
Wage Protection Scheme,Healthcare,4365,4,1,1,4,The scheme has significantly helped in accessing healthcare facilities.,Chennai,41-50,Female,Unemployed,Postgraduate,Low,Urban,1,3,1,2023-05-03,Phone
Ennum Ezhuthum,Agriculture,2057,3,5,2,4,The agricultural scheme provided necessary aid in tough times.,Chennai,18-30,Female,Professional,Postgraduate,Low,Urban,2,4,5,2023-05-04,In-person
Free Laptop Scheme,Education,647,3,1,4,5,The women empowerment scheme needs more promotion in rural areas.,Chennai,51-60,Other,Student,Graduate,Medium,Urban,4,2,4,2023-05-05,Phone
Organic Farming Mission,Social Welfare,4588,1,1,1,1,The women empowerment scheme needs more promotion in rural areas.,Coimbatore,18-30,Other,Unemployed,Postgraduate,High,Rural,4,1,2,2023-05-06,In-person
Wage Protection Scheme,Healthcare,2475,4,2,3,1,The women empowerment scheme needs more promotion in rural areas.,Trichy,61+,Male,Business,Doctorate,Low,Rural,4,2,3,2023-05-07,Online
Uzhavar Naal Scheme,Social Welfare,3561,3,1,4,2,Satisfied with the welfare program; could improve ease of access.,Chennai,18-30,Male,Student,High School,Low,Urban,4,2,1,2023-05-08,Phone
Organic Farming Mission,Social Welfare,1963,2,2,4,4,The agricultural scheme provided necessary aid in tough times.,Salem,18-30,Male,Homemaker,High School,Low,Urban,4,5,4,2023-05-09,Online
Pensión de Viudedad,Social Welfare,698,2,4,1,5,The education scheme needs improvement in terms of infrastructure.,Salem,18-30,Male,Business,Doctorate,Low,Rural,3,1,4,2023-05-10,Phone
Organic Farming Mission,Social Welfare,1306,2,2,4,4,The scheme has significantly helped in accessing healthcare facilities.,Coimbatore,51-60,Male,Student,Doctorate,Low,Urban,1,3,4,2023-05-11,Phone
Organic Farming Mission,Healthcare,1913,4,5,2,5,The scheme has significantly helped in accessing healthcare facilities.,Madurai,18-30,Other,Student,High School,Medium,Urban,2,4,3,2023-05-12,Phone
Organic Farming Mission,Social Welfare,4910,2,4,2,5,The agricultural scheme provided necessary aid in tough times.,Coimbatore,18-30,Female,Unemployed,Graduate,Low,Urban,3,1,5,2023-05-13,Online
Amma Free Clinics,Agriculture,51,5,2,5,4,Good initiative but awareness needs to be increased.,Madurai,31-40,Female,Student,Postgraduate,Medium,Rural,5,4,4,2023-05-14,Online
Uzhavar Naal Scheme,Women Empowerment,3854,2,2,2,1,The education scheme needs improvement in terms of infrastructure.,Madurai,51-60,Male,Professional,High School,Low,Urban,5,5,2,2023-05-15,In-person
Free Sanitary Napkin Scheme,Education,1410,4,3,5,3,The agricultural scheme provided necessary aid in tough times.,Coimbatore,41-50,Female,Business,Postgraduate,Medium,Urban,1,5,2,2023-05-16,In-person
Green Tamil Nadu Mission,Social Welfare,3592,1,2,5,3,The women empowerment scheme needs more promotion in rural areas.,Trichy,61+,Female,Student,High School,Medium,Urban,1,2,4,2023-05-17,Online
Wage Protection Scheme,Agriculture,1471,5,4,1,1,Good initiative but awareness needs to be increased.,Madurai,18-30,Male,Professional,Doctorate,Medium,Urban,2,4,2,2023-05-18,Phone
Free Sanitary Napkin Scheme,Women Empowerment,1088,3,5,5,5,Satisfied with the welfare program; could improve ease of access.,Coimbatore,18-30,Male,Homemaker,Doctorate,Low,Urban,1,1,3,2023-05-19,Phone
Organic Farming Mission,Education,948,2,2,1,2,The education scheme needs improvement in terms of infrastructure.,Madurai,18-30,Male,Professional,High School,Low,Urban,2,1,1,2023-05-20,Online
Wage Protection Scheme,Agriculture,966,1,5,5,1,Good initiative but awareness needs to be increased.,Chennai,31-40,Other,Student,Doctorate,High,Urban,1,5,3,2023-05-21,Online
Uzhavar Naal Scheme,Education,3114,5,1,3,1,The scheme has significantly helped in accessing healthcare facilities.,Chennai,51-60,Male,Homemaker,Graduate,High,Urban,5,1,3,2023-05-22,Online
Organic Farming Mission,Healthcare,3787,3,2,5,3,The women empowerment scheme needs more promotion in rural areas.,Trichy,41-50,Female,Homemaker,Postgraduate,Low,Urban,3,3,3,2023-05-23,Phone
Uzhavar Naal Scheme,Agriculture,808,3,5,4,5,Good initiative but awareness needs to be increased.,Salem,41-50,Male,Professional,Postgraduate,Medium,Urban,1,1,4,2023-05-24,Online
