Scheme_Name,Scheme_Category,Number_of_Beneficiaries,Benefit_Level,Ease_of_Access,Awareness_Level,Overall_Satisfaction,Feedback,Location,Age_Group,Gender,Occupation,Education_Level,Household_Income,Urban_or_Rural,Access_to_Resources,Scheme_Utility,Recommendation,Response_Date,Survey_Source
Green Tamil Nadu Mission,Employment,2533,4,5,4,2,This initiative has boosted employment prospects for many in our community.,Chennai,Under 18,Female,Unemployed,Doctorate,Upper-Middle,Rural,4,2,5,2023-10-25 13:08:09.019,Online
Kalaignar's Comprehensive Health Insurance Scheme,Health,1284,4,3,4,4,The scheme has positively impacted education opportunities for children.,Tiruchirappalli,Above 60,Male,Unemployed,Postgraduate,High,Rural,2,3,2,2023-01-14 13:08:09.019,Phone
Makkalai Thedi Maruthuvam,Education,4655,2,3,1,4,Needs more awareness campaigns; many people are unaware of its benefits.,Salem,46-60,Female,Unemployed,High School,Upper-Middle,Urban,5,3,4,2023-09-20 13:08:09.019,Online
Green Tamil Nadu Mission,Health,3485,4,2,5,4,Needs more awareness campaigns; many people are unaware of its benefits.,Chennai,Above 60,Other,Business,Doctorate,Low,Urban,1,5,5,2023-04-09 13:08:09.019,In-person
Amma Unavagam Scheme,Health,4217,3,3,5,4,"Overall satisfied, but improvements can be made in ease of access.",Chennai,Under 18,Other,Homemaker,Primary School,Lower-Middle,Rural,1,5,1,2022-12-29 13:08:09.019,Phone
Nehru Trophy for Excellence in School Education,Infrastructure,4943,4,4,1,2,This initiative has boosted employment prospects for many in our community.,Salem,Above 60,Other,Service,High School,High,Rural,2,5,4,2023-12-04 13:08:09.019,Online
Free Laptop Scheme for College Students,Employment,3004,2,4,2,3,The scheme has significantly improved healthcare access in our area.,Salem,18-30,Female,Business,Graduate,Upper-Middle,Rural,5,2,3,2023-03-07 13:08:09.019,In-person
Makkalai Thedi Maruthuvam,Employment,574,2,4,1,5,Needs more awareness campaigns; many people are unaware of its benefits.,Tiruchirappalli,46-60,Male,Service,Doctorate,Lower-Middle,Rural,2,2,4,2023-09-02 13:08:09.019,Phone
Nehru Trophy for Excellence in School Education,Infrastructure,1182,3,3,2,5,This initiative has boosted employment prospects for many in our community.,Coimbatore,18-30,Other,Business,Doctorate,High,Rural,4,2,4,2023-01-14 13:08:09.019,Phone
Free DTH Scheme,Infrastructure,2658,4,4,3,5,This initiative has boosted employment prospects for many in our community.,Chennai,Under 18,Other,Unemployed,Primary School,High,Rural,5,1,4,2023-06-10 13:08:09.019,In-person
Free Sanitary Napkin Scheme,Education,2147,4,5,3,5,"Overall satisfied, but improvements can be made in ease of access.",Chennai,Under 18,Female,Homemaker,Postgraduate,Upper-Middle,Urban,3,1,5,2023-11-12 13:08:09.019,In-person
Makkalai Thedi Maruthuvam,Employment,2847,1,1,1,2,The scheme has positively impacted education opportunities for children.,Tiruchirappalli,31-45,Female,Student,Primary School,Middle,Rural,3,2,5,2023-09-26 13:08:09.019,Online
Amma Free Clinics,Employment,1075,5,2,3,3,The scheme has significantly improved healthcare access in our area.,Madurai,31-45,Male,Homemaker,Postgraduate,Upper-Middle,Urban,2,4,1,2023-04-18 13:08:09.019,Online
Pensión de Viudedad,Infrastructure,1906,2,5,5,2,The scheme has positively impacted education opportunities for children.,Chennai,Under 18,Female,Unemployed,Graduate,Upper-Middle,Urban,3,5,1,2023-07-09 13:08:09.019,Phone
Uzhavar Naal Scheme,Infrastructure,289,1,4,2,3,The scheme has significantly improved healthcare access in our area.,Coimbatore,31-45,Female,Service,High School,Upper-Middle,Urban,2,3,5,2023-07-27 13:08:09.019,Phone
Ennum Ezhuthum,Health,2834,2,1,4,2,The scheme has significantly improved healthcare access in our area.,Salem,Above 60,Male,Homemaker,Primary School,Low,Urban,4,5,5,2023-09-07 13:08:09.019,In-person
Tamil Nadu Startup and Innovation Mission,Employment,3105,1,2,4,1,Needs more awareness campaigns; many people are unaware of its benefits.,Chennai,31-45,Female,Service,Primary School,Upper-Middle,Rural,4,4,2,2023-08-24 13:08:09.019,Phone
Amma Free Clinics,Infrastructure,4758,5,5,3,3,This initiative has boosted employment prospects for many in our community.,Tiruchirappalli,Under 18,Other,Unemployed,Doctorate,Lower-Middle,Urban,2,1,4,2023-03-26 13:08:09.019,In-person
Amma Free Clinics,Health,1999,1,2,2,5,This initiative has boosted employment prospects for many in our community.,Tiruchirappalli,Under 18,Male,Service,Primary School,Middle,Rural,4,2,4,2022-12-29 13:08:09.019,Online
Naan Mudhalvan Scheme,Education,1367,2,3,5,3,The scheme has significantly improved healthcare access in our area.,Tirunelveli,Above 60,Male,Unemployed,Primary School,Upper-Middle,Rural,3,1,3,2023-05-20 13:08:09.019,In-person
Transgender Welfare Board,Infrastructure,1628,4,4,4,4,The scheme has positively impacted education opportunities for children.,Salem,Under 18,Female,Student,Graduate,High,Urban,4,1,5,2023-01-08 13:08:09.019,Online
Amma Unavagam Scheme,Health,3302,2,5,5,3,Needs more awareness campaigns; many people are unaware of its benefits.,Chennai,Under 18,Other,Business,High School,Lower-Middle,Rural,3,4,5,2023-08-20 13:08:09.019,In-person
Ennum Ezhuthum,Employment,3656,3,5,5,4,The scheme has significantly improved healthcare access in our area.,Coimbatore,Above 60,Other,Student,Doctorate,Upper-Middle,Rural,3,1,1,2023-11-29 13:08:09.019,In-person
Amma Unavagam Scheme,Health,3990,3,1,4,4,This initiative has boosted employment prospects for many in our community.,Tiruchirappalli,46-60,Female,Service,High School,Lower-Middle,Urban,1,1,1,2023-04-01 13:08:09.019,Phone
Amma Free Clinics,Health,746,3,1,4,1,The scheme has positively impacted education opportunities for children.,Tiruchirappalli,31-45,Male,Service,Postgraduate,Low,Urban,4,5,4,2023-08-29 13:08:09.019,Phone
Free Laptop Scheme for College Students,Education,2988,3,1,3,3,The scheme has positively impacted education opportunities for children.,Coimbatore,Above 60,Other,Student,Doctorate,Upper-Middle,Urban,4,5,4,2023-08-03 13:08:09.019,Online
Climate Resilient Agriculture Scheme,Infrastructure,2535,5,2,2,1,The scheme has positively impacted education opportunities for children.,Chennai,18-30,Female,Business,Doctorate,Upper-Middle,Rural,2,4,5,2023-01-09 13:08:09.019,In-person
Green Tamil Nadu Mission,Infrastructure,700,4,4,1,5,The scheme has positively impacted education opportunities for children.,Chennai,Under 18,Other,Unemployed,Postgraduate,High,Urban,2,2,4,2023-02-12 13:08:09.019,Online
Kalaignar's Wage Protection Scheme,Employment,2463,4,2,2,3,"Overall satisfied, but improvements can be made in ease of access.",Tiruchirappalli,Under 18,Male,Unemployed,Doctorate,High,Rural,5,5,5,2023-12-04 13:08:09.019,Phone
Organic Farming Mission,Health,2161,2,4,1,2,Needs more awareness campaigns; many people are unaware of its benefits.,Madurai,31-45,Male,Unemployed,Graduate,Upper-Middle,Rural,3,1,3,2023-03-20 13:08:09.019,In-person
Nehru Trophy for Excellence in School Education,Health,341,1,5,4,2,This initiative has boosted employment prospects for many in our community.,Tirunelveli,31-45,Other,Business,Graduate,High,Urban,1,3,3,2023-10-25 13:08:09.019,Online
Organic Farming Mission,Employment,2141,2,2,5,2,"Overall satisfied, but improvements can be made in ease of access.",Tirunelveli,46-60,Other,Unemployed,Primary School,Middle,Urban,3,5,2,2023-10-19 13:08:09.019,In-person
Nehru Trophy for Excellence in School Education,Employment,2924,2,2,2,4,The scheme has significantly improved healthcare access in our area.,Chennai,Under 18,Male,Homemaker,Doctorate,Low,Rural,4,3,1,2023-09-14 13:08:09.019,Phone
Free Laptop Scheme for College Students,Health,2712,2,2,5,2,This initiative has boosted employment prospects for many in our community.,Chennai,Above 60,Female,Business,Graduate,High,Urban,5,2,2,2023-05-24 13:08:09.019,Phone
Kalaignar's Wage Protection Scheme,Education,1463,2,3,2,5,The scheme has significantly improved healthcare access in our area.,Tiruchirappalli,31-45,Other,Service,Doctorate,High,Rural,3,1,3,2023-10-07 13:08:09.019,Phone
Transgender Welfare Board,Health,1578,4,4,2,3,"Overall satisfied, but improvements can be made in ease of access.",Salem,18-30,Female,Unemployed,Primary School,High,Urban,5,5,4,2023-05-09 13:08:09.019,In-person
Green Tamil Nadu Mission,Health,2656,1,4,5,3,This initiative has boosted employment prospects for many in our community.,Tirunelveli,Under 18,Male,Homemaker,Graduate,Middle,Rural,3,2,1,2023-05-25 13:08:09.019,In-person
Kalaignar's Wage Protection Scheme,Infrastructure,875,2,2,3,4,Needs more awareness campaigns; many people are unaware of its benefits.,Tiruchirappalli,31-45,Female,Homemaker,Primary School,High,Urban,4,4,1,2023-01-24 13:08:09.020,Phone
Organic Farming Mission,Health,4114,4,3,4,4,"Overall satisfied, but improvements can be made in ease of access.",Chennai,31-45,Other,Business,Doctorate,Upper-Middle,Urban,4,2,2,2023-02-06 13:08:09.020,In-person
Climate Resilient Agriculture Scheme,Health,134,2,2,3,4,The scheme has significantly improved healthcare access in our area.,Salem,46-60,Other,Homemaker,Primary School,High,Rural,3,4,1,2023-06-26 13:08:09.020,Phone
Kalaignar's Wage Protection Scheme,Employment,3252,3,4,3,5,"Overall satisfied, but improvements can be made in ease of access.",Salem,Above 60,Other,Service,Graduate,Middle,Rural,1,4,3,2023-04-02 13:08:09.020,In-person
Free Sanitary Napkin Scheme,Employment,2055,2,5,2,3,This initiative has boosted employment prospects for many in our community.,Tirunelveli,18-30,Female,Student,Postgraduate,Middle,Rural,4,5,4,2022-12-21 13:08:09.020,Online
Free DTH Scheme,Infrastructure,1685,2,3,4,1,This initiative has boosted employment prospects for many in our community.,Madurai,46-60,Female,Unemployed,High School,Lower-Middle,Rural,2,3,2,2023-08-27 13:08:09.020,Phone
Amma Free Clinics,Infrastructure,4043,5,3,2,4,This initiative has boosted employment prospects for many in our community.,Salem,31-45,Other,Student,High School,Low,Rural,1,4,4,2023-04-25 13:08:09.020,Phone
Tamil Nadu Startup and Innovation Mission,Health,3173,3,2,1,2,The scheme has positively impacted education opportunities for children.,Chennai,Above 60,Male,Student,Postgraduate,Low,Urban,3,1,2,2023-01-07 13:08:09.020,In-person
Amma Free Clinics,Infrastructure,1121,1,5,2,1,This initiative has boosted employment prospects for many in our community.,Coimbatore,31-45,Female,Service,High School,High,Urban,1,5,5,2023-09-10 13:08:09.020,Online
Tamil Nadu Startup and Innovation Mission,Health,3561,2,4,5,1,The scheme has significantly improved healthcare access in our area.,Salem,46-60,Other,Service,Primary School,Upper-Middle,Rural,2,4,1,2023-02-25 13:08:09.020,Phone
Kalaignar's Comprehensive Health Insurance Scheme,Education,2713,1,1,2,4,The scheme has significantly improved healthcare access in our area.,Madurai,46-60,Female,Homemaker,High School,Upper-Middle,Urban,4,5,5,2023-08-05 13:08:09.020,In-person
Pensión de Viudedad,Health,3943,3,4,1,2,"Overall satisfied, but improvements can be made in ease of access.",Tiruchirappalli,Under 18,Male,Student,Doctorate,High,Rural,4,1,1,2023-06-21 13:08:09.020,In-person
Makkalai Thedi Maruthuvam,Employment,1600,2,4,2,4,The scheme has significantly improved healthcare access in our area.,Tiruchirappalli,31-45,Female,Student,Doctorate,High,Rural,4,5,5,2023-10-13 13:08:09.020,Phone
Organic Farming Mission,Health,4898,5,5,1,4,This initiative has boosted employment prospects for many in our community.,Salem,46-60,Other,Student,Graduate,Middle,Urban,2,5,4,2023-09-10 13:08:09.020,In-person
Kalaignar's Comprehensive Health Insurance Scheme,Employment,261,4,3,4,2,The scheme has significantly improved healthcare access in our area.,Madurai,46-60,Female,Business,Postgraduate,Low,Urban,1,4,3,2023-02-09 13:08:09.020,In-person
Amma Unavagam Scheme,Health,4397,5,4,2,1,This initiative has boosted employment prospects for many in our community.,Madurai,18-30,Male,Unemployed,Primary School,Low,Rural,3,2,2,2022-12-14 13:08:09.020,Online
Kalaignar's Wage Protection Scheme,Infrastructure,2081,5,3,1,1,The scheme has positively impacted education opportunities for children.,Chennai,46-60,Female,Business,Postgraduate,Upper-Middle,Rural,3,5,1,2023-03-09 13:08:09.020,Phone
Tamil Nadu Startup and Innovation Mission,Education,1095,4,5,4,2,The scheme has positively impacted education opportunities for children.,Tiruchirappalli,46-60,Female,Business,Graduate,Low,Rural,1,4,2,2023-11-10 13:08:09.020,Online
Free DTH Scheme,Education,3442,4,5,5,1,This initiative has boosted employment prospects for many in our community.,Salem,46-60,Male,Homemaker,Postgraduate,High,Urban,4,1,3,2022-12-20 13:08:09.020,Phone
Naan Mudhalvan Scheme,Health,4651,4,2,3,5,"Overall satisfied, but improvements can be made in ease of access.",Madurai,46-60,Male,Unemployed,Doctorate,Lower-Middle,Urban,3,1,5,2023-09-24 13:08:09.020,Online
Free Laptop Scheme for College Students,Health,3898,2,1,1,4,Needs more awareness campaigns; many people are unaware of its benefits.,Salem,46-60,Other,Business,Graduate,Lower-Middle,Rural,4,2,4,2023-11-10 13:08:09.020,Phone
Nehru Trophy for Excellence in School Education,Health,1375,1,5,5,5,The scheme has significantly improved healthcare access in our area.,Tiruchirappalli,46-60,Male,Unemployed,High School,Upper-Middle,Urban,5,1,2,2022-12-23 13:08:09.020,Online
Transgender Welfare Board,Employment,1116,1,5,4,5,The scheme has positively impacted education opportunities for children.,Coimbatore,18-30,Other,Unemployed,Primary School,High,Rural,5,4,5,2023-10-21 13:08:09.020,Online
Kalaignar's Wage Protection Scheme,Education,437,4,3,5,5,The scheme has positively impacted education opportunities for children.,Salem,31-45,Female,Business,Primary School,High,Urban,3,2,1,2023-10-29 13:08:09.020,In-person
Makkalai Thedi Maruthuvam,Education,978,5,5,2,3,Needs more awareness campaigns; many people are unaware of its benefits.,Salem,Under 18,Female,Service,Postgraduate,Middle,Rural,1,4,2,2023-03-19 13:08:09.020,Online
Climate Resilient Agriculture Scheme,Employment,1176,3,4,3,3,The scheme has significantly improved healthcare access in our area.,Chennai,Under 18,Male,Service,Postgraduate,Low,Rural,1,2,2,2023-05-22 13:08:09.020,Online
Free Sanitary Napkin Scheme,Infrastructure,4987,4,2,1,5,"Overall satisfied, but improvements can be made in ease of access.",Coimbatore,18-30,Male,Unemployed,Primary School,Lower-Middle,Urban,1,2,1,2023-03-16 13:08:09.020,Phone
Transgender Welfare Board,Infrastructure,4093,5,2,4,4,This initiative has boosted employment prospects for many in our community.,Salem,Above 60,Other,Service,Primary School,High,Urban,4,4,3,2022-12-31 13:08:09.020,Phone
Ennum Ezhuthum,Health,4959,5,4,3,5,The scheme has positively impacted education opportunities for children.,Tirunelveli,Above 60,Male,Business,High School,High,Rural,5,2,5,2023-04-20 13:08:09.020,Phone
Free Laptop Scheme for College Students,Employment,479,2,5,4,5,This initiative has boosted employment prospects for many in our community.,Chennai,Under 18,Female,Unemployed,Graduate,Upper-Middle,Rural,4,4,2,2023-07-01 13:08:09.020,Online
Ennum Ezhuthum,Health,592,2,1,5,3,"Overall satisfied, but improvements can be made in ease of access.",Tiruchirappalli,31-45,Female,Student,Postgraduate,Middle,Urban,2,1,5,2023-10-14 13:08:09.020,Phone
Organic Farming Mission,Employment,2162,1,5,4,5,The scheme has positively impacted education opportunities for children.,Chennai,18-30,Other,Student,Primary School,Upper-Middle,Rural,2,1,4,2023-03-12 13:08:09.020,Online
Pensión de Viudedad,Health,3984,1,2,4,4,This initiative has boosted employment prospects for many in our community.,Tirunelveli,Above 60,Female,Business,Primary School,Upper-Middle,Urban,3,5,5,2023-05-14 13:08:09.020,In-person
Climate Resilient Agriculture Scheme,Education,164,3,1,5,4,This initiative has boosted employment prospects for many in our community.,Tirunelveli,Above 60,Male,Unemployed,Primary School,Lower-Middle,Rural,2,3,5,2023-02-28 13:08:09.020,Phone
Climate Resilient Agriculture Scheme,Infrastructure,2668,3,3,5,5,The scheme has positively impacted education opportunities for children.,Madurai,46-60,Male,Homemaker,Doctorate,Lower-Middle,Rural,1,3,1,2023-09-27 13:08:09.020,In-person
Kalaignar's Comprehensive Health Insurance Scheme,Employment,2127,3,3,3,4,This initiative has boosted employment prospects for many in our community.,Coimbatore,46-60,Other,Student,Graduate,Lower-Middle,Rural,3,1,5,2023-02-20 13:08:09.020,In-person
Kalaignar's Comprehensive Health Insurance Scheme,Education,2795,3,5,1,5,This initiative has boosted employment prospects for many in our community.,Salem,31-45,Female,Business,Doctorate,High,Urban,5,5,3,2023-08-24 13:08:09.020,Online
Free Laptop Scheme for College Students,Health,1595,5,5,5,3,The scheme has significantly improved healthcare access in our area.,Chennai,Above 60,Male,Student,High School,Lower-Middle,Urban,5,3,5,2023-10-17 13:08:09.020,In-person
Green Tamil Nadu Mission,Education,491,5,1,3,5,The scheme has significantly improved healthcare access in our area.,Madurai,Above 60,Male,Homemaker,Postgraduate,Low,Urban,2,4,4,2023-06-29 13:08:09.020,Online
Kalaignar's Comprehensive Health Insurance Scheme,Infrastructure,4614,1,1,4,1,"Overall satisfied, but improvements can be made in ease of access.",Salem,46-60,Other,Unemployed,Graduate,High,Urban,2,4,5,2023-02-20 13:08:09.020,Online
Kalaignar's Comprehensive Health Insurance Scheme,Health,4574,2,5,4,3,"Overall satisfied, but improvements can be made in ease of access.",Tirunelveli,31-45,Other,Student,High School,Lower-Middle,Rural,5,2,1,2023-01-23 13:08:09.020,In-person
Uzhavar Naal Scheme,Education,3661,2,2,2,4,Needs more awareness campaigns; many people are unaware of its benefits.,Coimbatore,31-45,Male,Service,Graduate,Low,Urban,2,3,4,2023-09-02 13:08:09.020,In-person
Tamil Nadu Startup and Innovation Mission,Employment,2378,4,3,5,4,The scheme has positively impacted education opportunities for children.,Chennai,Above 60,Male,Service,High School,High,Urban,2,4,1,2023-04-22 13:08:09.020,Online
Naan Mudhalvan Scheme,Employment,3199,5,1,3,3,The scheme has significantly improved healthcare access in our area.,Tiruchirappalli,Under 18,Other,Business,High School,Middle,Rural,4,3,3,2023-04-28 13:08:09.020,Online
Ennum Ezhuthum,Education,300,3,2,3,1,Needs more awareness campaigns; many people are unaware of its benefits.,Coimbatore,31-45,Male,Student,Postgraduate,Upper-Middle,Rural,5,2,3,2023-08-20 13:08:09.020,Online
Naan Mudhalvan Scheme,Employment,4975,3,5,1,3,This initiative has boosted employment prospects for many in our community.,Madurai,Under 18,Male,Business,Graduate,Upper-Middle,Rural,5,1,1,2023-07-17 13:08:09.020,In-person
Organic Farming Mission,Employment,3204,4,4,3,2,The scheme has positively impacted education opportunities for children.,Tirunelveli,31-45,Male,Business,High School,Middle,Urban,2,5,3,2023-10-18 13:08:09.020,Phone
Pensión de Viudedad,Employment,4698,2,1,5,1,The scheme has positively impacted education opportunities for children.,Salem,Above 60,Female,Homemaker,Doctorate,Upper-Middle,Urban,1,2,1,2023-08-11 13:08:09.021,In-person
Amma Unavagam Scheme,Education,2554,3,4,3,3,This initiative has boosted employment prospects for many in our community.,Coimbatore,31-45,Other,Business,Graduate,Lower-Middle,Urban,4,2,2,2022-12-28 13:08:09.021,In-person
Pensión de Viudedad,Infrastructure,3745,2,2,2,2,The scheme has significantly improved healthcare access in our area.,Madurai,46-60,Female,Student,Doctorate,High,Rural,1,2,5,2023-11-09 13:08:09.021,Online
Free Sanitary Napkin Scheme,Infrastructure,904,4,3,4,5,The scheme has positively impacted education opportunities for children.,Madurai,46-60,Male,Service,High School,Low,Urban,2,5,2,2023-01-14 13:08:09.021,Online
Tamil Nadu Startup and Innovation Mission,Health,2831,2,2,4,1,This initiative has boosted employment prospects for many in our community.,Madurai,Under 18,Other,Homemaker,Postgraduate,High,Rural,5,4,3,2023-01-27 13:08:09.021,In-person
Free Laptop Scheme for College Students,Education,2873,2,3,3,5,Needs more awareness campaigns; many people are unaware of its benefits.,Tirunelveli,31-45,Other,Service,Graduate,Middle,Rural,1,3,1,2023-06-20 13:08:09.021,Online
Organic Farming Mission,Education,1670,2,2,3,2,The scheme has significantly improved healthcare access in our area.,Salem,18-30,Male,Unemployed,Graduate,High,Rural,3,1,1,2023-11-19 13:08:09.021,Phone
Kalaignar's Comprehensive Health Insurance Scheme,Education,2790,3,1,3,4,The scheme has positively impacted education opportunities for children.,Madurai,31-45,Female,Service,Doctorate,Lower-Middle,Rural,1,1,1,2023-03-20 13:08:09.021,In-person
Makkalai Thedi Maruthuvam,Health,3940,1,1,3,4,This initiative has boosted employment prospects for many in our community.,Tirunelveli,31-45,Other,Student,Postgraduate,Low,Urban,5,5,1,2023-12-03 13:08:09.021,Online
Free DTH Scheme,Employment,1128,5,4,2,4,The scheme has positively impacted education opportunities for children.,Salem,18-30,Other,Student,High School,Upper-Middle,Urban,2,1,5,2023-03-30 13:08:09.021,Phone
Makkalai Thedi Maruthuvam,Education,602,2,2,5,5,This initiative has boosted employment prospects for many in our community.,Chennai,46-60,Other,Homemaker,High School,Middle,Urban,1,5,4,2023-02-23 13:08:09.021,In-person
Amma Free Clinics,Health,4593,2,2,2,1,This initiative has boosted employment prospects for many in our community.,Coimbatore,Above 60,Male,Business,Graduate,Low,Rural,2,5,2,2023-04-09 13:08:09.021,Phone
Kalaignar's Comprehensive Health Insurance Scheme,Infrastructure,970,2,4,2,5,Needs more awareness campaigns; many people are unaware of its benefits.,Madurai,18-30,Other,Business,Primary School,Low,Rural,4,3,3,2023-03-15 13:08:09.021,In-person
Free Sanitary Napkin Scheme,Infrastructure,4588,1,5,2,5,The scheme has positively impacted education opportunities for children.,Tirunelveli,46-60,Male,Homemaker,Doctorate,Middle,Rural,3,3,1,2023-10-23 13:08:09.021,In-person
Naan Mudhalvan Scheme,Employment,306,4,2,4,4,This initiative has boosted employment prospects for many in our community.,Salem,46-60,Male,Unemployed,Postgraduate,Middle,Urban,5,5,2,2023-11-08 13:08:09.021,In-person
Makkalai Thedi Maruthuvam,Employment,1584,3,2,2,5,The scheme has significantly improved healthcare access in our area.,Coimbatore,Under 18,Other,Service,Primary School,Lower-Middle,Urban,5,3,4,2023-09-07 13:08:09.021,In-person
Free Sanitary Napkin Scheme,Health,963,1,2,3,2,The scheme has significantly improved healthcare access in our area.,Tirunelveli,46-60,Female,Business,High School,Upper-Middle,Urban,2,4,2,2023-05-29 13:08:09.021,Phone
Transgender Welfare Board,Employment,2890,2,5,2,3,The scheme has significantly improved healthcare access in our area.,Madurai,Under 18,Other,Student,Primary School,High,Urban,3,2,3,2023-04-11 13:08:09.021,In-person
Free Laptop Scheme for College Students,Employment,663,1,1,3,3,The scheme has positively impacted education opportunities for children.,Chennai,31-45,Female,Business,Postgraduate,High,Urban,5,1,1,2023-12-02 13:08:09.021,In-person
Amma Free Clinics,Education,4291,1,4,5,3,The scheme has significantly improved healthcare access in our area.,Coimbatore,46-60,Male,Student,Postgraduate,Low,Rural,1,1,3,2023-06-26 13:08:09.021,Phone
Free Sanitary Napkin Scheme,Employment,1857,1,5,4,4,Needs more awareness campaigns; many people are unaware of its benefits.,Tirunelveli,Above 60,Other,Service,Primary School,High,Urban,5,1,1,2023-12-05 13:08:09.021,Online
Nehru Trophy for Excellence in School Education,Education,1778,4,3,5,4,The scheme has positively impacted education opportunities for children.,Chennai,46-60,Female,Business,Doctorate,Middle,Rural,1,1,4,2023-11-25 13:08:09.021,Phone
Makkalai Thedi Maruthuvam,Education,3342,5,3,5,3,The scheme has positively impacted education opportunities for children.,Tirunelveli,Under 18,Male,Unemployed,Doctorate,Middle,Urban,5,4,3,2023-07-03 13:08:09.021,Phone
Makkalai Thedi Maruthuvam,Education,4736,3,5,4,1,"Overall satisfied, but improvements can be made in ease of access.",Madurai,46-60,Other,Unemployed,High School,High,Rural,1,4,2,2023-02-26 13:08:09.021,Online
Amma Free Clinics,Health,1159,4,5,3,3,The scheme has significantly improved healthcare access in our area.,Madurai,Under 18,Female,Student,Graduate,Middle,Rural,4,2,4,2023-05-26 13:08:09.021,Online
Naan Mudhalvan Scheme,Employment,1822,4,1,3,5,The scheme has significantly improved healthcare access in our area.,Salem,Above 60,Male,Unemployed,Doctorate,Upper-Middle,Urban,2,5,3,2023-08-29 13:08:09.021,In-person
Transgender Welfare Board,Employment,3414,5,3,3,3,Needs more awareness campaigns; many people are unaware of its benefits.,Chennai,Above 60,Male,Student,Graduate,Middle,Urban,4,3,1,2023-08-19 13:08:09.021,In-person
Climate Resilient Agriculture Scheme,Education,3257,4,4,4,3,The scheme has significantly improved healthcare access in our area.,Tirunelveli,Under 18,Other,Business,Doctorate,Upper-Middle,Urban,1,2,4,2023-05-01 13:08:09.021,Phone
Makkalai Thedi Maruthuvam,Employment,2725,1,2,2,1,This initiative has boosted employment prospects for many in our community.,Coimbatore,Above 60,Female,Unemployed,Graduate,Middle,Urban,2,1,1,2023-12-06 13:08:09.021,Online
Free Sanitary Napkin Scheme,Education,2829,1,2,1,4,"Overall satisfied, but improvements can be made in ease of access.",Chennai,Above 60,Female,Homemaker,Postgraduate,High,Rural,3,3,5,2023-03-26 13:08:09.021,Online
Climate Resilient Agriculture Scheme,Education,1697,2,1,2,4,Needs more awareness campaigns; many people are unaware of its benefits.,Tiruchirappalli,31-45,Other,Homemaker,Doctorate,High,Urban,1,2,2,2023-10-25 13:08:09.021,Online
