Scheme_Name,Scheme_Category,Number_of_Beneficiaries,Benefit_Level,Ease_of_Access,Awareness_Level,Overall_Satisfaction,Feedback,Location,Age_Group,Gender,Occupation,Education_Level,Household_Income,Urban_or_Rural,Access_to_Resources,Scheme_Utility,Recommendation,Response_Date,Survey_Source
Midday Meal Scheme,Education,4217,3,3,5,4,The scheme has significantly improved healthcare access in our area.,Salem,31-45,Female,Service,Graduate,High,Urban,1,5,1,2023-01-11 12:09:14.578,Online
Chief Minister's Comprehensive Health Insurance Scheme,Employment,4943,4,4,1,2,This initiative has boosted employment prospects for many in our community.,Tiruchirappalli,Above 60,Other,Homemaker,High School,Low,Rural,2,5,4,2023-02-16 12:09:14.578,Online
Chief Minister's Comprehensive Health Insurance Scheme,Education,3004,2,4,2,3,This initiative has boosted employment prospects for many in our community.,Chennai,Under 18,Male,Homemaker,High School,High,Urban,5,2,3,2023-06-24 12:09:14.578,Phone
Chief Minister's Comprehensive Health Insurance Scheme,Employment,574,2,4,1,5,"Overall satisfied, but improvements can be made in ease of access.",Tiruchirappalli,Under 18,Other,Service,Doctorate,High,Urban,2,2,4,2023-03-19 12:09:14.578,Online
Chief Minister's Comprehensive Health Insurance Scheme,Employment,1182,3,3,2,5,This initiative has boosted employment prospects for many in our community.,Tiruchirappalli,46-60,Female,Homemaker,Graduate,Upper-Middle,Rural,4,2,4,2023-07-06 12:09:14.578,Phone
Midday Meal Scheme,Infrastructure,2658,4,4,3,5,Needs more awareness campaigns; many people are unaware of its benefits.,Tirunelveli,18-30,Female,Homemaker,Primary School,Upper-Middle,Rural,5,1,4,2023-11-01 12:09:14.578,In-person
Chief Minister's Comprehensive Health Insurance Scheme,Infrastructure,2147,4,5,3,5,The scheme has positively impacted education opportunities for children.,Coimbatore,Under 18,Other,Unemployed,Doctorate,High,Urban,3,1,5,2023-01-20 12:09:14.578,Phone
Midday Meal Scheme,Education,2847,1,1,1,2,Needs more awareness campaigns; many people are unaware of its benefits.,Salem,31-45,Other,Homemaker,Doctorate,High,Urban,3,2,5,2023-08-11 12:09:14.578,Online
Midday Meal Scheme,Health,1075,5,2,3,3,Needs more awareness campaigns; many people are unaware of its benefits.,Salem,46-60,Other,Student,Primary School,Upper-Middle,Urban,2,4,1,2023-07-18 12:09:14.578,Online
Midday Meal Scheme,Infrastructure,1906,2,5,5,2,The scheme has positively impacted education opportunities for children.,Coimbatore,18-30,Male,Student,Graduate,High,Rural,3,5,1,2023-06-09 12:09:14.578,In-person
Midday Meal Scheme,Infrastructure,289,1,4,2,3,This initiative has boosted employment prospects for many in our community.,Madurai,Under 18,Male,Service,Doctorate,High,Urban,2,3,5,2023-06-16 12:09:14.578,In-person
Chief Minister's Comprehensive Health Insurance Scheme,Education,2834,2,1,4,2,The scheme has significantly improved healthcare access in our area.,Coimbatore,18-30,Other,Student,High School,Low,Rural,4,5,5,2023-10-09 12:09:14.578,In-person
Chief Minister's Comprehensive Health Insurance Scheme,Infrastructure,3105,1,2,4,1,This initiative has boosted employment prospects for many in our community.,Tirunelveli,18-30,Female,Business,Doctorate,Upper-Middle,Rural,4,4,2,2023-08-15 12:09:14.578,Phone
Chief Minister's Comprehensive Health Insurance Scheme,Infrastructure,4758,5,5,3,3,This initiative has boosted employment prospects for many in our community.,Chennai,Under 18,Female,Business,Graduate,Low,Urban,2,1,4,2023-04-06 12:09:14.578,In-person
Midday Meal Scheme,Health,1999,1,2,2,5,"Overall satisfied, but improvements can be made in ease of access.",Chennai,Under 18,Other,Unemployed,Postgraduate,Lower-Middle,Urban,4,2,4,2023-01-03 12:09:14.578,Phone
Chief Minister's Comprehensive Health Insurance Scheme,Health,1367,2,3,5,3,The scheme has significantly improved healthcare access in our area.,Tirunelveli,Under 18,Other,Service,Postgraduate,Low,Rural,3,1,3,2023-06-05 12:09:14.578,In-person
Chief Minister's Comprehensive Health Insurance Scheme,Education,1628,4,4,4,4,Needs more awareness campaigns; many people are unaware of its benefits.,Tirunelveli,Above 60,Male,Service,High School,Lower-Middle,Urban,4,1,5,2023-08-02 12:09:14.578,Phone
Midday Meal Scheme,Employment,3302,2,5,5,3,The scheme has significantly improved healthcare access in our area.,Tirunelveli,31-45,Male,Service,Postgraduate,Middle,Urban,3,4,5,2023-01-20 12:09:14.578,In-person
Chief Minister's Comprehensive Health Insurance Scheme,Infrastructure,3656,3,5,5,4,The scheme has positively impacted education opportunities for children.,Coimbatore,Above 60,Male,Homemaker,Primary School,High,Urban,3,1,1,2023-12-01 12:09:14.578,Phone
Midday Meal Scheme,Infrastructure,3990,3,1,4,4,The scheme has significantly improved healthcare access in our area.,Salem,Under 18,Other,Business,Primary School,High,Urban,1,1,1,2023-12-03 12:09:14.578,Phone
Midday Meal Scheme,Health,746,3,1,4,1,The scheme has significantly improved healthcare access in our area.,Coimbatore,31-45,Male,Student,Primary School,Upper-Middle,Urban,4,5,4,2023-03-11 12:09:14.578,Online
Midday Meal Scheme,Employment,2988,3,1,3,3,This initiative has boosted employment prospects for many in our community.,Tirunelveli,46-60,Male,Unemployed,Primary School,High,Urban,4,5,4,2023-03-23 12:09:14.578,In-person
Chief Minister's Comprehensive Health Insurance Scheme,Employment,2535,5,2,2,1,"Overall satisfied, but improvements can be made in ease of access.",Chennai,Above 60,Male,Unemployed,Primary School,Middle,Rural,2,4,5,2023-04-15 12:09:14.578,Online
Midday Meal Scheme,Infrastructure,700,4,4,1,5,The scheme has positively impacted education opportunities for children.,Salem,31-45,Male,Service,Doctorate,Low,Rural,2,2,4,2023-07-16 12:09:14.578,In-person
Chief Minister's Comprehensive Health Insurance Scheme,Health,2463,4,2,2,3,The scheme has positively impacted education opportunities for children.,Tiruchirappalli,Under 18,Male,Business,Postgraduate,Middle,Urban,5,5,5,2023-09-25 12:09:14.578,Phone
Chief Minister's Comprehensive Health Insurance Scheme,Health,2161,2,4,1,2,Needs more awareness campaigns; many people are unaware of its benefits.,Salem,18-30,Other,Homemaker,Doctorate,High,Rural,3,1,3,2023-05-29 12:09:14.578,Online
Midday Meal Scheme,Infrastructure,341,1,5,4,2,Needs more awareness campaigns; many people are unaware of its benefits.,Tirunelveli,Under 18,Male,Homemaker,High School,Lower-Middle,Rural,1,3,3,2023-10-22 12:09:14.578,Online
Midday Meal Scheme,Employment,2141,2,2,5,2,Needs more awareness campaigns; many people are unaware of its benefits.,Coimbatore,31-45,Other,Student,Doctorate,Low,Urban,3,5,2,2023-09-02 12:09:14.578,In-person
Chief Minister's Comprehensive Health Insurance Scheme,Employment,2924,2,2,2,4,This initiative has boosted employment prospects for many in our community.,Salem,31-45,Other,Unemployed,Postgraduate,Upper-Middle,Rural,4,3,1,2023-02-02 12:09:14.578,In-person
Chief Minister's Comprehensive Health Insurance Scheme,Education,2712,2,2,5,2,"Overall satisfied, but improvements can be made in ease of access.",Tirunelveli,18-30,Female,Unemployed,Primary School,High,Rural,5,2,2,2023-07-05 12:09:14.578,Phone
Midday Meal Scheme,Education,1463,2,3,2,5,"Overall satisfied, but improvements can be made in ease of access.",Coimbatore,Above 60,Female,Homemaker,Graduate,Upper-Middle,Rural,3,1,3,2023-02-09 12:09:14.578,In-person
Chief Minister's Comprehensive Health Insurance Scheme,Health,1578,4,4,2,3,The scheme has significantly improved healthcare access in our area.,Madurai,31-45,Male,Student,Doctorate,Middle,Rural,5,5,4,2022-12-29 12:09:14.579,Online
Chief Minister's Comprehensive Health Insurance Scheme,Infrastructure,2656,1,4,5,3,Needs more awareness campaigns; many people are unaware of its benefits.,Tirunelveli,46-60,Female,Student,Primary School,Upper-Middle,Urban,3,2,1,2023-01-20 12:09:14.579,In-person
Midday Meal Scheme,Infrastructure,875,2,2,3,4,"Overall satisfied, but improvements can be made in ease of access.",Madurai,31-45,Male,Homemaker,Primary School,Low,Rural,4,4,1,2023-01-01 12:09:14.579,In-person
Chief Minister's Comprehensive Health Insurance Scheme,Employment,4114,4,3,4,4,"Overall satisfied, but improvements can be made in ease of access.",Madurai,Under 18,Other,Homemaker,Postgraduate,Middle,Rural,4,2,2,2023-08-31 12:09:14.579,Online
Chief Minister's Comprehensive Health Insurance Scheme,Health,134,2,2,3,4,This initiative has boosted employment prospects for many in our community.,Chennai,Under 18,Male,Service,Doctorate,Middle,Rural,3,4,1,2023-11-23 12:09:14.579,Phone
Chief Minister's Comprehensive Health Insurance Scheme,Health,3252,3,4,3,5,The scheme has positively impacted education opportunities for children.,Chennai,Under 18,Male,Service,Primary School,Low,Rural,1,4,3,2023-06-06 12:09:14.579,Online
Chief Minister's Comprehensive Health Insurance Scheme,Employment,2055,2,5,2,3,"Overall satisfied, but improvements can be made in ease of access.",Tirunelveli,46-60,Female,Unemployed,Postgraduate,Middle,Urban,4,5,4,2023-07-13 12:09:14.579,Online
Chief Minister's Comprehensive Health Insurance Scheme,Employment,1685,2,3,4,1,"Overall satisfied, but improvements can be made in ease of access.",Tiruchirappalli,46-60,Male,Unemployed,Primary School,Upper-Middle,Rural,2,3,2,2023-06-01 12:09:14.579,Phone
Chief Minister's Comprehensive Health Insurance Scheme,Infrastructure,4043,5,3,2,4,The scheme has positively impacted education opportunities for children.,Chennai,Under 18,Female,Service,Postgraduate,Middle,Rural,1,4,4,2023-05-12 12:09:14.579,Online
Midday Meal Scheme,Education,3173,3,2,1,2,Needs more awareness campaigns; many people are unaware of its benefits.,Salem,Under 18,Male,Unemployed,High School,Low,Urban,3,1,2,2023-11-12 12:09:14.579,In-person
Midday Meal Scheme,Education,1121,1,5,2,1,The scheme has significantly improved healthcare access in our area.,Tirunelveli,18-30,Male,Student,Primary School,Low,Rural,1,5,5,2023-01-20 12:09:14.579,In-person
Chief Minister's Comprehensive Health Insurance Scheme,Infrastructure,3561,2,4,5,1,This initiative has boosted employment prospects for many in our community.,Tirunelveli,31-45,Male,Unemployed,High School,Upper-Middle,Urban,2,4,1,2023-01-09 12:09:14.579,In-person
Chief Minister's Comprehensive Health Insurance Scheme,Health,2713,1,1,2,4,The scheme has positively impacted education opportunities for children.,Chennai,31-45,Male,Service,High School,Upper-Middle,Rural,4,5,5,2023-05-21 12:09:14.579,Online
Midday Meal Scheme,Infrastructure,3943,3,4,1,2,The scheme has positively impacted education opportunities for children.,Coimbatore,Above 60,Other,Unemployed,Postgraduate,High,Rural,4,1,1,2023-10-25 12:09:14.579,Online
Chief Minister's Comprehensive Health Insurance Scheme,Infrastructure,1600,2,4,2,4,The scheme has positively impacted education opportunities for children.,Chennai,31-45,Male,Service,High School,Lower-Middle,Rural,4,5,5,2023-04-27 12:09:14.579,Phone
Midday Meal Scheme,Employment,4898,5,5,1,4,The scheme has significantly improved healthcare access in our area.,Chennai,Above 60,Male,Business,Postgraduate,Low,Rural,2,5,4,2023-02-23 12:09:14.579,Online
Midday Meal Scheme,Education,261,4,3,4,2,This initiative has boosted employment prospects for many in our community.,Chennai,Above 60,Female,Student,Graduate,Lower-Middle,Urban,1,4,3,2023-05-09 12:09:14.579,In-person
Chief Minister's Comprehensive Health Insurance Scheme,Health,4397,5,4,2,1,"Overall satisfied, but improvements can be made in ease of access.",Tirunelveli,18-30,Other,Service,Primary School,Middle,Urban,3,2,2,2023-03-14 12:09:14.579,Phone
Chief Minister's Comprehensive Health Insurance Scheme,Health,2081,5,3,1,1,The scheme has significantly improved healthcare access in our area.,Madurai,31-45,Male,Unemployed,Postgraduate,Middle,Urban,3,5,1,2023-04-04 12:09:14.579,Online
Midday Meal Scheme,Health,1095,4,5,4,2,The scheme has positively impacted education opportunities for children.,Madurai,Above 60,Other,Student,Doctorate,Middle,Urban,1,4,2,2023-04-29 12:09:14.579,Phone
Midday Meal Scheme,Infrastructure,3442,4,5,5,1,"Overall satisfied, but improvements can be made in ease of access.",Chennai,Under 18,Other,Homemaker,Postgraduate,Lower-Middle,Rural,4,1,3,2023-03-24 12:09:14.579,Phone
Midday Meal Scheme,Health,4651,4,2,3,5,This initiative has boosted employment prospects for many in our community.,Salem,Above 60,Female,Business,Primary School,High,Rural,3,1,5,2023-10-05 12:09:14.579,Phone
Midday Meal Scheme,Infrastructure,3898,2,1,1,4,The scheme has significantly improved healthcare access in our area.,Madurai,31-45,Other,Homemaker,Doctorate,High,Urban,4,2,4,2023-12-01 12:09:14.579,Phone
Midday Meal Scheme,Employment,1375,1,5,5,5,Needs more awareness campaigns; many people are unaware of its benefits.,Madurai,18-30,Female,Service,Postgraduate,Middle,Rural,5,1,2,2023-04-20 12:09:14.579,Phone
Midday Meal Scheme,Health,1116,1,5,4,5,Needs more awareness campaigns; many people are unaware of its benefits.,Salem,Under 18,Other,Homemaker,High School,Upper-Middle,Rural,5,4,5,2023-10-27 12:09:14.579,Online
Midday Meal Scheme,Infrastructure,437,4,3,5,5,The scheme has significantly improved healthcare access in our area.,Tiruchirappalli,Above 60,Male,Unemployed,Postgraduate,Lower-Middle,Urban,3,2,1,2023-03-15 12:09:14.579,Phone
Chief Minister's Comprehensive Health Insurance Scheme,Infrastructure,978,5,5,2,3,Needs more awareness campaigns; many people are unaware of its benefits.,Tirunelveli,31-45,Other,Homemaker,Primary School,Upper-Middle,Urban,1,4,2,2023-02-06 12:09:14.579,Online
Chief Minister's Comprehensive Health Insurance Scheme,Employment,1176,3,4,3,3,"Overall satisfied, but improvements can be made in ease of access.",Madurai,Under 18,Female,Service,Primary School,Low,Urban,1,2,2,2023-09-07 12:09:14.579,Online
Chief Minister's Comprehensive Health Insurance Scheme,Health,4987,4,2,1,5,The scheme has significantly improved healthcare access in our area.,Tiruchirappalli,31-45,Male,Student,Graduate,Middle,Rural,1,2,1,2023-01-14 12:09:14.579,In-person
Chief Minister's Comprehensive Health Insurance Scheme,Infrastructure,4093,5,2,4,4,Needs more awareness campaigns; many people are unaware of its benefits.,Salem,Under 18,Male,Student,Doctorate,Upper-Middle,Urban,4,4,3,2023-11-22 12:09:14.579,Online
Chief Minister's Comprehensive Health Insurance Scheme,Infrastructure,4959,5,4,3,5,Needs more awareness campaigns; many people are unaware of its benefits.,Coimbatore,46-60,Other,Service,Primary School,High,Urban,5,2,5,2023-04-11 12:09:14.579,Phone
Chief Minister's Comprehensive Health Insurance Scheme,Employment,479,2,5,4,5,Needs more awareness campaigns; many people are unaware of its benefits.,Chennai,46-60,Male,Unemployed,Doctorate,Middle,Urban,4,4,2,2023-07-01 12:09:14.579,Online
Midday Meal Scheme,Employment,592,2,1,5,3,Needs more awareness campaigns; many people are unaware of its benefits.,Salem,31-45,Female,Business,Graduate,Lower-Middle,Urban,2,1,5,2023-01-15 12:09:14.579,Phone
Midday Meal Scheme,Education,2162,1,5,4,5,This initiative has boosted employment prospects for many in our community.,Chennai,31-45,Other,Business,High School,High,Rural,2,1,4,2023-03-20 12:09:14.579,Online
Midday Meal Scheme,Employment,3984,1,2,4,4,The scheme has significantly improved healthcare access in our area.,Tiruchirappalli,31-45,Other,Service,Primary School,Low,Urban,3,5,5,2023-07-26 12:09:14.579,In-person
Chief Minister's Comprehensive Health Insurance Scheme,Infrastructure,164,3,1,5,4,"Overall satisfied, but improvements can be made in ease of access.",Chennai,Under 18,Female,Business,Primary School,Lower-Middle,Urban,2,3,5,2023-08-08 12:09:14.579,Phone
Chief Minister's Comprehensive Health Insurance Scheme,Health,2668,3,3,5,5,The scheme has positively impacted education opportunities for children.,Tirunelveli,46-60,Male,Student,Primary School,Low,Urban,1,3,1,2023-05-09 12:09:14.579,Online
Midday Meal Scheme,Education,2127,3,3,3,4,"Overall satisfied, but improvements can be made in ease of access.",Chennai,18-30,Female,Student,Graduate,Upper-Middle,Urban,3,1,5,2023-10-23 12:09:14.579,Online
Midday Meal Scheme,Education,2795,3,5,1,5,The scheme has positively impacted education opportunities for children.,Tirunelveli,Under 18,Male,Business,Doctorate,Low,Urban,5,5,3,2023-05-10 12:09:14.579,In-person
Midday Meal Scheme,Health,1595,5,5,5,3,"Overall satisfied, but improvements can be made in ease of access.",Coimbatore,Above 60,Other,Unemployed,Graduate,Lower-Middle,Rural,5,3,5,2023-01-26 12:09:14.579,In-person
Chief Minister's Comprehensive Health Insurance Scheme,Health,491,5,1,3,5,This initiative has boosted employment prospects for many in our community.,Salem,31-45,Male,Homemaker,Primary School,Lower-Middle,Urban,2,4,4,2023-07-10 12:09:14.579,Online
Midday Meal Scheme,Employment,4614,1,1,4,1,The scheme has positively impacted education opportunities for children.,Salem,18-30,Female,Service,Doctorate,Upper-Middle,Rural,2,4,5,2023-09-12 12:09:14.579,In-person
Chief Minister's Comprehensive Health Insurance Scheme,Education,4574,2,5,4,3,"Overall satisfied, but improvements can be made in ease of access.",Coimbatore,18-30,Male,Business,Postgraduate,Upper-Middle,Rural,5,2,1,2023-08-20 12:09:14.579,Online
Midday Meal Scheme,Health,3661,2,2,2,4,The scheme has positively impacted education opportunities for children.,Coimbatore,Above 60,Female,Service,Postgraduate,Lower-Middle,Urban,2,3,4,2023-11-16 12:09:14.579,Phone
Chief Minister's Comprehensive Health Insurance Scheme,Employment,2378,4,3,5,4,This initiative has boosted employment prospects for many in our community.,Chennai,Under 18,Female,Unemployed,Graduate,Low,Rural,2,4,1,2023-08-20 12:09:14.579,Online
Midday Meal Scheme,Employment,3199,5,1,3,3,This initiative has boosted employment prospects for many in our community.,Coimbatore,46-60,Male,Business,Primary School,Middle,Urban,4,3,3,2023-06-21 12:09:14.579,In-person
Chief Minister's Comprehensive Health Insurance Scheme,Infrastructure,300,3,2,3,1,Needs more awareness campaigns; many people are unaware of its benefits.,Madurai,18-30,Female,Service,Postgraduate,High,Rural,5,2,3,2023-01-02 12:09:14.579,Phone
Midday Meal Scheme,Infrastructure,4975,3,5,1,3,The scheme has significantly improved healthcare access in our area.,Chennai,18-30,Other,Homemaker,Primary School,High,Urban,5,1,1,2022-12-30 12:09:14.579,Online
Chief Minister's Comprehensive Health Insurance Scheme,Education,3204,4,4,3,2,"Overall satisfied, but improvements can be made in ease of access.",Chennai,18-30,Male,Business,Primary School,Upper-Middle,Rural,2,5,3,2023-04-05 12:09:14.579,In-person
Midday Meal Scheme,Infrastructure,4698,2,1,5,1,Needs more awareness campaigns; many people are unaware of its benefits.,Salem,Above 60,Other,Unemployed,High School,Upper-Middle,Rural,1,2,1,2023-11-22 12:09:14.579,In-person
Chief Minister's Comprehensive Health Insurance Scheme,Education,2554,3,4,3,3,"Overall satisfied, but improvements can be made in ease of access.",Salem,Above 60,Other,Homemaker,Primary School,Low,Urban,4,2,2,2023-10-26 12:09:14.579,Online
Chief Minister's Comprehensive Health Insurance Scheme,Employment,3745,2,2,2,2,This initiative has boosted employment prospects for many in our community.,Salem,31-45,Other,Homemaker,Doctorate,Upper-Middle,Urban,1,2,5,2023-10-04 12:09:14.579,Phone
Chief Minister's Comprehensive Health Insurance Scheme,Health,904,4,3,4,5,Needs more awareness campaigns; many people are unaware of its benefits.,Tiruchirappalli,46-60,Male,Student,Graduate,Lower-Middle,Rural,2,5,2,2023-03-23 12:09:14.579,Phone
Midday Meal Scheme,Infrastructure,2831,2,2,4,1,The scheme has significantly improved healthcare access in our area.,Tirunelveli,46-60,Male,Service,Graduate,Upper-Middle,Rural,5,4,3,2022-12-22 12:09:14.579,In-person
Midday Meal Scheme,Infrastructure,2873,2,3,3,5,"Overall satisfied, but improvements can be made in ease of access.",Coimbatore,31-45,Female,Service,High School,High,Urban,1,3,1,2023-07-11 12:09:14.579,In-person
Chief Minister's Comprehensive Health Insurance Scheme,Education,1670,2,2,3,2,"Overall satisfied, but improvements can be made in ease of access.",Chennai,Under 18,Male,Student,Postgraduate,Middle,Rural,3,1,1,2023-01-20 12:09:14.579,Online
Midday Meal Scheme,Employment,2790,3,1,3,4,The scheme has significantly improved healthcare access in our area.,Salem,Above 60,Female,Service,Doctorate,Low,Rural,1,1,1,2023-09-03 12:09:14.579,In-person
Midday Meal Scheme,Health,3940,1,1,3,4,"Overall satisfied, but improvements can be made in ease of access.",Chennai,Above 60,Other,Business,Postgraduate,Middle,Urban,5,5,1,2022-12-20 12:09:14.579,Online
Chief Minister's Comprehensive Health Insurance Scheme,Employment,1128,5,4,2,4,"Overall satisfied, but improvements can be made in ease of access.",Tirunelveli,Under 18,Female,Business,High School,Middle,Urban,2,1,5,2023-10-16 12:09:14.579,Online
Chief Minister's Comprehensive Health Insurance Scheme,Employment,602,2,2,5,5,"Overall satisfied, but improvements can be made in ease of access.",Tiruchirappalli,18-30,Female,Business,Primary School,Low,Urban,1,5,4,2023-05-26 12:09:14.579,Online
Chief Minister's Comprehensive Health Insurance Scheme,Infrastructure,4593,2,2,2,1,Needs more awareness campaigns; many people are unaware of its benefits.,Tiruchirappalli,Above 60,Other,Unemployed,Graduate,Lower-Middle,Rural,2,5,2,2023-02-07 12:09:14.579,Phone
Midday Meal Scheme,Health,970,2,4,2,5,The scheme has significantly improved healthcare access in our area.,Chennai,18-30,Male,Business,Graduate,Upper-Middle,Urban,4,3,3,2023-09-15 12:09:14.579,Phone
Midday Meal Scheme,Employment,4588,1,5,2,5,This initiative has boosted employment prospects for many in our community.,Salem,46-60,Female,Unemployed,High School,Low,Rural,3,3,1,2023-02-04 12:09:14.579,Phone
Chief Minister's Comprehensive Health Insurance Scheme,Employment,306,4,2,4,4,The scheme has significantly improved healthcare access in our area.,Tiruchirappalli,31-45,Other,Homemaker,Primary School,Middle,Urban,5,5,2,2023-03-01 12:09:14.579,In-person
Chief Minister's Comprehensive Health Insurance Scheme,Infrastructure,1584,3,2,2,5,The scheme has significantly improved healthcare access in our area.,Salem,31-45,Male,Unemployed,Doctorate,Middle,Rural,5,3,4,2023-04-20 12:09:14.579,Online
Chief Minister's Comprehensive Health Insurance Scheme,Education,963,1,2,3,2,Needs more awareness campaigns; many people are unaware of its benefits.,Madurai,46-60,Female,Homemaker,Primary School,Low,Rural,2,4,2,2023-08-08 12:09:14.579,Online
Chief Minister's Comprehensive Health Insurance Scheme,Health,2890,2,5,2,3,The scheme has significantly improved healthcare access in our area.,Madurai,46-60,Other,Student,Postgraduate,High,Rural,3,2,3,2023-03-10 12:09:14.579,Phone
Chief Minister's Comprehensive Health Insurance Scheme,Health,663,1,1,3,3,The scheme has significantly improved healthcare access in our area.,Chennai,18-30,Other,Unemployed,High School,Low,Urban,5,1,1,2023-04-10 12:09:14.579,Online
Midday Meal Scheme,Employment,4291,1,4,5,3,This initiative has boosted employment prospects for many in our community.,Tiruchirappalli,Under 18,Female,Unemployed,Graduate,Low,Urban,1,1,3,2023-03-24 12:09:14.579,Phone
Midday Meal Scheme,Health,1857,1,5,4,4,"Overall satisfied, but improvements can be made in ease of access.",Coimbatore,Under 18,Male,Homemaker,Doctorate,Low,Rural,5,1,1,2023-07-05 12:09:14.579,Phone
Midday Meal Scheme,Health,1778,4,3,5,4,This initiative has boosted employment prospects for many in our community.,Tiruchirappalli,31-45,Male,Business,Primary School,Low,Rural,1,1,4,2023-01-01 12:09:14.579,Online
Midday Meal Scheme,Health,3342,5,3,5,3,The scheme has significantly improved healthcare access in our area.,Tirunelveli,46-60,Female,Service,High School,Lower-Middle,Rural,5,4,3,2023-10-29 12:09:14.579,Phone
Midday Meal Scheme,Employment,4736,3,5,4,1,This initiative has boosted employment prospects for many in our community.,Coimbatore,18-30,Female,Student,Primary School,Upper-Middle,Rural,1,4,2,2023-06-26 12:09:14.579,Phone
Chief Minister's Comprehensive Health Insurance Scheme,Health,1159,4,5,3,3,The scheme has significantly improved healthcare access in our area.,Coimbatore,Above 60,Other,Service,High School,Lower-Middle,Urban,4,2,4,2022-12-12 12:09:14.579,Online
Midday Meal Scheme,Education,1822,4,1,3,5,The scheme has positively impacted education opportunities for children.,Madurai,18-30,Male,Service,Postgraduate,Upper-Middle,Rural,2,5,3,2022-12-24 12:09:14.579,In-person
Chief Minister's Comprehensive Health Insurance Scheme,Employment,3414,5,3,3,3,The scheme has significantly improved healthcare access in our area.,Tiruchirappalli,Above 60,Male,Service,Postgraduate,Upper-Middle,Urban,4,3,1,2023-11-07 12:09:14.579,Phone
